name|position|plus.minus|Salary.0203|Salary.0304|Salary.0506|Salary.0607|Salary.0708|Salary.0809|Salary.0910|Salary.1011|Salary.1112|Salary.1213|Salary.1314|Total
PAUL_STASTNY|C|124|0|0|0|0.535|0.685|0.71|6.6|6.6|6.6|6.6|6.6|34.93
PAUL_SZCZECHURA|C|-29|0|0|0|0|0|0.55|0.65|0|0|0|0|1.2
PAVEL_BRENDL|R|6|0.5125|1.025|0.899745|0|0|0|0|0|0|0|0|2.437245
PAVEL_BURE|R|10|10|10|0|0|0|0|0|0|0|0|0|20
PAVEL_DATSYUK|C|586|0.625|1.5|3.9|3.9|6.7|6.7|6.7|6.7|6.7|6.7|6.7|56.825
PAVEL_KUBINA|D|-1|2.25|2.5|2.584|5|5|5|5|4.2|3.5|0|0|35.034
PAVEL_TRNKA|D|12|0.9|1|0|0|0|0|0|0|0|0|0|1.9
PAVEL_VOROBIEV|R|8|0|0|0.817|0|0|0|0|0|0|0|0|0.817
PAVOL_DEMITRA|R|205|3.975|6.5|4.5|4.5|4.5|4|4|0|0|0|0|31.975
PEKKA_RINNE|G|37|0|0|0|0|0|0.575|0.725|2.8|4|7|7|22.1
PER_SVARTVADET|C|-24|0.65|0|0|0|0|0|0|0|0|0|0|0.65
PETER_BONDRA|R|78|4.75|4.5|0.505|0.5|0|0|0|0|0|0|0|10.255
PETER_BUDAJ|G|-4|0|0|0.45|0.6|0.7|0.8|1.25|1.25|1.1|1.2|1.4|8.75
PETER_FORSBERG|C|256|9.5|11|5.75|5.75|0|0|0|0|0|0|0|32
PETER_HARROLD|D|-4|0|0|0|0|0|0.65|0.55|0.55|0.55|0.525|0.8|3.625
PETER_HOLLAND|C|5|0|0|0|0|0|0|0|0|0|0.9|0.81|1.71
PETER_MUELLER|C|64|0|0|0|0|0.85|0.85|0.85|1.5|2.5|1.725|0|8.275
PETER_REGIN|C|9|0|0|0|0|0|0|0.62|0|1.05|0.8|0.75|3.22
PETER_SCHAEFER|L|60|0.252|0.6|0.988|1.7|2.1|0|0|0|0|0|0|5.64
PETER_SEJNA|L|4|0|1.105|0|0.5335|0|0|0|0|0|0|0|1.6385
PETER_SKUDRA|G|3|0.45|0|0|0|0|0|0|0|0|0|0|0.45
PETER_WORRELL|L|-17|0.6|8|0|0|0|0|0|0|0|0|0|8.6
PETR_BUZEK|D|4|0.71|0.71|0|0|0|0|0|0|0|0|0|1.42
PETR_CAJANEK|C|46|0|0|0.836|1.7|0|0|0|0|0|0|0|2.536
PETR_KALUS|R|0|0|0|0|0.585|0|0|0|0|0|0|0|0.585
PETR_MRAZEK|G|3|0|0|0|0|0|0|0|0|0|0.605|0.605|1.21
PETR_NEDVED|C|-7|4.55|4.75|2.204|2.356|0|0|0|0|0|0|0|13.86
PETR_PRUCHA|R|81|0|0|0.525|0.55|1.6|1.6|1.15|1.1|0|0|0|6.525
PETR_SCHASTLIVY|L|14|0.525|0.6625|0|0|0|0|0|0|0|0|0|1.1875
PETR_SYKORA|R|226|3.535|4.2|3.116|2.9|2.5|2.5|1.6|0|0|0|0|20.351
PETR_TENKRAT|R|-15|0|0|0|0.525|0|0|0|0|0|0|0|0.525
PETTERI_NOKELAINEN|C|-45|0|0|0.9842|0|0.9842|0.8|0.9|0.95|0|0.575|0|5.1934
PETTERI_NUMMELIN|D|21|0|0|0|1|1.2|0|0|0|0|0|0|2.2
PHIL_HOUSLEY|D|12|2.5|0|0|0|0|0|0|0|0|0|0|2.5
PHIL_KESSEL|C|131|0|0|0|0.85|0.85|0.85|4.5|6|6|5.1|5.4|29.55
PHILIP_LARSEN|D|4|0|0|0|0|0|0|0|0.635|0|0.9|1.15|2.685
PHILIP_MCRAE|C|-10|0|0|0|0|0|0|0|0|0.875|0.787|0|1.662
PHILIPP_GRUBAUER|G|-2|0|0|0|0|0|0|0|0|0|0.61|0.6|1.21
PHILIPPE_BOUCHER|D|65|2.2|2.6|1.824|2.5|2.5|2.5|0|0|0|0|0|14.124
PHILIPPE_CORNET|L|0|0|0|0|0|0|0|0|0|0|0.605|0|0.605
PHILIPPE_DUPUIS|C|-29|0|0|0|0|0|0|0|0|0.65|0.6|0|1.25
PHILIPPE_SAUVE|G|-23|0|0|0.5|0|0|0|0|0|0|0|0|0.5
PIERRE_DAGENAIS|L|29|0.5|0.5|0.55|0|0|0|0|0|0|0|0|1.55
PIERRE_TURGEON|C|78|6|7.5|1.5|1.5|0|0|0|0|0|0|0|16.5
PIERRE-CEDRIC_LABRIE|L|0|0|0|0|0|0|0|0|0|0|0.525|0.625|1.15
PIERRE-LUC_LETOURNEAU-LEBLOND|R|-2|0|0|0|0|0|0|0.5|0.525|0.55|0|0|1.575
PIERRE-MARC_BOUCHARD|C|208|1.185|1.185|0.95|1.85|2.6|3.35|4.25|4.25|4.25|4.3|2|30.17
QUINTIN_LAING|L|-19|0|0|0|0|0.475|0|0.5|0|0|0|0|0.975
QUINTON_HOWDEN|C|-11|0|0|0|0|0|0|0|0|0|0.9|0.9|1.8
R.J._UMBERGER|C|-13|0|0|0|1.05|1.25|3|3.5|4|4.5|5|4.5|26.8
RADEK_BONK|C|38|3.2|3.5|2.394|2.394|1.35|1.6|0|0|0|0|0|14.438
RADEK_DVORAK|R|-108|1.575|2|1.596|1|1.5|1.6|1.6|1.8|1.5|0|0|14.171
RADEK_MARTINEK|D|-102|0.5|0.6|0.575|0.7|0.7|1.2|1.4|1.9|2.2|0|0|9.775
RADIM_VRBATA|R|184|0.41|0.5375|0.475|1.225|1.225|0|0|3|3|3|3|15.8725
RADKO_GUDAS|D|2|0|0|0|0|0|0|0|0|0|0.625|0.575|1.2
RADOSLAV_SUCHY|D|-73|0.6|1.1|1.14|0|0|0|0|0|0|0|0|2.84
RAFFI_TORRES|L|67|1.075|0|0.825|0.925|1.6|2.4|2.75|0|1.75|1.75|1.75|14.825
RAITIS_IVANANS|L|-39|0|0|0|0.45|0.475|0.6|0.6|0.6|0.6|0|0|3.325
RAMZI_ABID|L|-1|0|0.45|0.45|0.475|0|0|0|0|0|0|0|1.375
RANDY_JONES|D|-15|0|0|0|0.525|0.525|2.5|3|0|1.15|0|0|7.7
RANDY_MCKAY|R|-9|2.125|2.125|0|0|0|0|0|0|0|0|0|4.25
RANDY_ROBITAILLE|C|69|0.82|0.5|0.475|0.6|0.625|0|0|0|0|0|0|3.02
RAPHAEL_DIAZ|D|-3|0|0|0|0|0|0|0|0|0|1.2|1.25|2.45
RAY_EMERY|G|130|0|0|0.45|0.925|2.75|0|1.5|0|0.6|1.15|1.65|9.025
RAY_WHITNEY|L|340|2.6|3|1.5|1.5|3.55|3.55|3.55|3|3|4.5|4.5|34.25
RAYMOND_GIROUX|D|0|0|0.55|0|0|0|0|0|0|0|0|0|0.55
RAYMOND_SAWADA|R|-1|0|0|0|0|0|0.675|0|0|0|0|0|0.675
REED_LOW|R|-6|0.6|0.7|0.57|0|0|0|0|0|0|0|0|1.87
REID_SIMPSON|L|-4|0.35|0.4|0|0|0|0|0|0|0|0|0|0.75
REILLY_SMITH|R|-6|0|0|0|0|0|0|0|0|0|0.9|0.9|1.8
REINHARD_DIVIS|G|-20|0|0|0.45|0|0|0|0|0|0|0|0|0.45
REM_MURRAY|C|-16|1.225|1|0|0|0|0|0|0|0|0|0|2.225
RENE_BOURQUE|L|11|0|0|0.45|0.75|0.9|1.3|1.4|4|4|3|4|19.8
RHETT_WARRENER|D|-63|1.65|1.8|1.9|2.5|2.5|2.5|0|0|0|0|0|12.85
RICH_CLUNE|L|1|0|0|0|0|0|0|0|0|0|0.525|0.525|1.05
RICH_PEVERLEY|C|18|0|0|0|0.45|0|0.475|0.5|1.25|1.4|3|3.375|10.45
