Name|Salary.0203|Salary.0304|Salary.0506|Salary.0607|Salary.0708|Salary.0809|Salary.0910|Salary.1011|Salary.1112|Salary.1213|Salary.1314|Total
JONATHAN_CHEECHOO|0.8|0.665|0.76|2.5|2.5|3|3.5|3.5|0|0|0|17.225
JONATHAN_ERICSSON|0|0|0|0|0|0|0.9|1.25|3.25|3.25|3.25|11.9
JONATHAN_GIRARD|0.99|1.089|0.956|0|0|0|0|0|0|0|0|3.035
JONATHAN_HAZEN|0|0|0|0|0|0|0|0|0|0.79|0.79|1.58
JONATHAN_HEDSTROM|0|0|0.525|0|0|0|0|0|0|0|0|0.525
JONATHAN_HUBERDEAU|0|0|0|0|0|0|0|0|0|0.925|0.925|1.85
JONATHAN_PARKER|0|0|0|0|0|0|0|0|0|0.525|0.525|1.05
JONATHAN_QUICK|0|0|0|0|0|0.55|0.57|1.9|1.8|1.7|7|13.52
JONATHAN_RHEAULT|0|0|0|0|0|0|0|0|0|0.6|0|0.6
JONATHAN_SIM|0|0.45|0.45|0.61|1|1|1|0|0|0|0|4.51
JONATHAN_TOEWS|0|0|0|0|0.85|0.85|0.85|6.5|6|6|6.5|27.55
JONATHON_KALINSKI|0|0|0|0|0|0.5625|0|0.6375|0|0|0|1.2
JONI_ORTIO|0|0|0|0|0|0|0|0|0|0.605|0.605|1.21
JONI_PITKANEN|0|0|0.9006|2|2.4|3.5|4|4.5|4.5|4.5|4.5|30.8006
JOONAS_JARVINEN|0|0|0|0|0|0|0|0|0|0.718|0.718|1.436
JOONAS_LEHITVUORI|0|0|0|0|0|0|0|0.585|0|0|0|0.585
JOONAS_NATTINEN|0|0|0|0|0|0|0|0|0|0.64|0.64|1.28
JOONAS_RASK|0|0|0|0|0|0|0|0|0|0.59|0.61|1.2
JORDAN_BINNINGTON|0|0|0|0|0|0|0|0|0|0.615|0.618|1.233
JORDAN_CARON|0|0|0|0|0|0|0|0|0.9|0.9|0.64|2.44
JORDAN_EBERLE|0|0|0|0|0|0|0|0.875|0.875|0.787|6|8.537
JORDAN_HENDRY|0|0|0|0|0|0|0.65|0.6|0|0.6|0|1.85
JORDAN_LEOPOLD|1|0.9|1.05|1.25|1.5|1.5|1.75|3|3|3|2.25|20.2
JORDAN_NOLAN|0|0|0|0|0|0|0|0|0|0.54|0|0.54
JORDAN_PEARCE|0|0|0|0|0|0|0|0|0|0.525|0|0.525
JORDAN_SCHROEDER|0|0|0|0|0|0|0|0|0|0.9|0.6|1.5
JORDAN_STAAL|0|0|0|0.85|0.85|0.85|3.5|3.5|4.5|4.5|6|24.55
JORDAN_SZWARZ|0|0|0|0|0|0|0|0|0|0.613|0.638|1.251
JORDAN_WEAL|0|0|0|0|0|0|0|0|0|0.615|0.64|1.255
JORDIE_BENN|0|0|0|0|0|0|0|0|0|0.525|0.6|1.125
JORDIN_TOOTOO|0|0|0.646|0.5|0.7|0.975|0.975|1.15|1.35|1.7|2|9.996
JOSE_THEODORE|5|5.5|4.5|5.5|6|4.5|4.5|0|1.5|1.5|0|38.5
JOSEF_MELICHAR|0.65|0.7|0.7|0.75|0|1|0|0|0|0|0|3.8
JOSEF_VASICEK|0.35|0.385|1|1.3|0.75|0|0|0|0|0|0|3.785
JOSEPH_CORVO|0|0|0.6688|2.5|2.5|2.75|2.75|2|2.5|0|0.9|16.5688
JOSEPH_LAVIN|0|0|0|0|0|0|0|0|0|0.59|0|0.59
JOSEPH_MORROW|0|0|0|0|0|0|0|0|0|0.925|0.925|1.85
JOSEPH_SACCO|0.625|0|0|0|0|0|0|0|0|0|0|0.625
JOSEPH_SOVA|0|0|0|0|0|0|0|0|0|0.565|0|0.565
JOSH_BRITTAIN|0|0|0|0|0|0|0|0|0|0.585|0|0.585
JOSH_CARON|0|0|0|0|0|0|0|0|0|0.545|0.525|1.07
JOSH_GORGES|0|0|0.45|0.45|0.495|1|1|1.3|2.5|3.9|3.9|14.995
JOSH_GRATTON|0|0|0|0.5|0|0|0|0|0|0|0|0.5
JOSH_GREEN|0.7986|0.45|0.5|0.45|0|0|0|0|0.575|0|0|2.7736
JOSH_HARDING|0|0|0|0.456|0.7|0.75|1.1|1.2|0.75|1.5|2.1|8.556
JOSH_HOLDEN|0.6|0|0|0|0|0|0|0|0|0|0|0.6
JOSH_LANGFELD|0|0|0.525|0.525|0|0|0|0|0|0|0|1.05
JOSH_SHALLA|0|0|0|0|0|0|0|0|0|0.595|0.595|1.19
JOSHUA_BAILEY|0|0|0|0|0|0.875|0.875|0.875|0.875|1.3|2.2|7
JOSHUA_MCFADDEN|0|0|0|0|0|0|0|0|0|0.58|0.58|1.16
JOZEF_STUMPEL|2.85|2.85|1.5|1.75|2.25|0|0|0|0|0|0|11.2
JUHA_YLONEN|0.75|0|0|0|0|0|0|0|0|0|0|0.75
JULIAN_MELCHIORI|0|0|0|0|0|0|0|0|0|0.595|0.615|1.21
JURAJ_KOLNIK|0|0|0.45|0.95|0|0|0|0|0|0|0|1.4
JUSSI_JOKINEN|0|0|0|0.7|1.75|1.875|1.5|1.9|3|3|3|16.725
JUSSI_MARKKANEN|0.4625|0.6425|0.85|0.85|0|0|0|0|0|0|0|2.805
JUSSI_RYNNAS|0|0|0|0|0|0|0|0|0|0.6|0|0.6
JUSTIN_ABDELKADER|0|0|0|0|0|0|0.71|0.75|0.825|1.4|1.55|5.235
JUSTIN_BRAUN|0|0|0|0|0|0|0|0|0.7125|1|1.25|2.9625
JUSTIN_FALK|0|0|0|0|0|0|0|0|0|0.825|0.975|1.8
JUSTIN_FAULK|0|0|0|0|0|0|0|0|0|0.84|0.89|1.73
JUSTIN_FLOREK|0|0|0|0|0|0|0|0|0|0.69|0.69|1.38
JUSTIN_FONTAINE|0|0|0|0|0|0|0|0|0|0.595|0.6|1.195
JUSTIN_KRUEGER|0|0|0|0|0|0|0|0|0|0.6|0|0.6
JUSTIN_PETERS|0|0|0|0|0|0|0|0.5|0.55|0.525|0.55|2.125
JUSTIN_POGGE|0|0|0|0|0|0.55|0|0|0|0|0|0.55
JUSTIN_SCHULTZ|0|0|0|0|0|0|0|0|0|0.925|0.925|1.85
JUSTIN_SHUGG|0|0|0|0|0|0|0|0|0|0.625|0.625|1.25
JUSTIN_WELLER|0|0|0|0|0|0|0|0|0|0.565|0.565|1.13
JUSTIN_WILLIAMS|0.975|0|1.225|3.5|3.5|3.5|3.5|3.5|3.9|3.9|3.75|31.25
JUUSO_PUUSTINEN|0|0|0|0|0|0|0|0|0|0.61|0|0.61
JYRI_NIEMI|0|0|0|0|0|0|0|0|0|0.67|0|0.67
JYRKI_JOKIPAKKA|0|0|0|0|0|0|0|0|0|0.598|0.675|1.273
JYRKI_LUMME|2.75|1.75|0|0|0|0|0|0|0|0|0|4.5
KAMIL_KREPS|0|0|0|0|0.495|0.565|0.8|0|0|0|0|1.86
KAREL_RACHUNEK|0|0.9|0|1.8|1.4|0|0|0|0|0|0|4.1
KARI_LEHTONEN|0|0|0.9006|1.5|2.2|3|3|2.7|3.7|4.25|6.25|27.5006
KARL_ALZNER|0|0|0|0|0|0.875|0.875|0|1.3|1.27|0|4.32
KARL_DYKHUIS|1.5|1.6|0|0|0|0|0|0|0|0|0|3.1
KARL_STEWART|0|0|0|0.45|0|0|0|0|0|0|0|0.45
KARLIS_SKRASTINS|0.775|1.2|1.425|2.4|2.4|2.4|1.1|1.65|0|0|0|13.35
KARRI_RAMO|0|0|0|0.6|0.65|0.725|0|0|0|0|2.6|4.575
KASPARS_DAUGAVINS|0|0|0|0|0|0|0|0|0|0.635|0|0.635
KEATON_ELLERBY|0|0|0|0|0|0|0|0|0.7875|0.7|0.735|2.2225
KEIRAN_MILLAN|0|0|0|0|0|0|0|0|0|0.59|0.665|1.255
KEITH_AUCOIN|0|0|0|0|0.475|0|0|0|0|0.65|0.625|1.75
KEITH_AULIE|0|0|0|0|0|0|0|0|0.525|0.578|0|1.103
KEITH_BALLARD|0|0|0.9006|0.9006|2.05|2.5|4.2|4.2|4.2|4.2|4.2|27.3512
KEITH_CARNEY|2.45|2.6|2.052|2.1|2.1|0|0|0|0|0|0|11.302
