who,last_active,mean_effect
PATRICE_BERGERON,20132014,0.143264448222371
BRYAN_LITTLE,20132014,0.142574285257242
TAYLOR_HALL,20132014,0.142378675596178
KEITH_TKACHUK,20092010,0.141467119209266
STEPHEN_WEISS,20132014,0.140941370541298
DAVID_BACKES,20132014,0.140768797537835
JOCHEN_HECHT,20122013,0.13972921285284
TOBIAS_ENSTROM,20132014,0.139276029667834
SCOTT_HARTNELL,20132014,0.136812595609329
LANDON_WILSON,20082009,0.13661892492703
CURTIS_GLENCROSS,20132014,0.136176442747573
IAN_COLE,20132014,0.135510088985611
PATRICK_SHARP,20132014,0.135282413948888
DUSTIN_BROWN,20132014,0.135279295794215
RYAN_MCDONAGH,20132014,0.134926957035813
RYAN_GARBUTT,20132014,0.134920784422113
MIKE_RIBEIRO,20132014,0.134677660156107
BRIAN_RAFALSKI,20102011,0.13449965540778
SIMON_GAGNE,20122013,0.134282499826629
NICKLAS_BACKSTROM,20132014,0.133805834249231
KEITH_YANDLE,20132014,0.133542145539125
FERNANDO_PISANI,20102011,0.132600292745203
DAVID_DESHARNAIS,20132014,0.132031446150829
COLIN_WILSON,20132014,0.13168037267519
CURTIS_LESCHYSHYN,20032004,0.131531402178802
MICHAEL_RYDER,20132014,0.131522240546511
WOJTEK_WOLSKI,20122013,0.131164460573217
P.K._SUBBAN,20132014,0.130651918034383
BRAD_BOYES,20132014,0.130494608543304
RILEY_SHEAHAN,20132014,0.130481664590566
ERIK_COLE,20132014,0.130418930414888
ANDREI_KOSTITSYN,20112012,0.129759361698059
TRENT_HUNTER,20112012,0.12965382392101
STEVEN_REINPRECHT,20102011,0.129150675027592
MATT_CULLEN,20132014,0.128299676910615
SCOTT_PARSE,20112012,0.128299609592618
ANDREW_LADD,20132014,0.127629026329934
JANNIK_HANSEN,20132014,0.127619358337549
BRIAN_GIONTA,20132014,0.126655944298707
VALERI_BURE,20032004,0.126558773212744
DEREK_STEPAN,20132014,0.126263427214281
MARK_STREIT,20132014,0.124901114013953
PHIL_KESSEL,20132014,0.124148127252301
MIKAEL_SAMUELSSON,20132014,0.124002015329484
ADAM_MCQUAID,20132014,0.123841706343043
COREY_PERRY,20132014,0.122135817897628
BRENDAN_GALLAGHER,20132014,0.12118620103207
DAN_BOYLE,20132014,0.121096152485831
ERIC_DESJARDINS,20052006,0.120848772650238
NATHAN_MACKINNON,20132014,0.120818212210955
NIK_ANTROPOV,20122013,0.120690153778094
SCOTTIE_UPSHALL,20132014,0.11984692009255
VIKTOR_KOZLOV,20082009,0.119702478809111
BRIAN_CAMPBELL,20132014,0.119643380375927
DRAKE_BEREHOWSKY,20032004,0.118807870034576
BRANDON_SUTTER,20132014,0.118633854508639
VILLE_KOISTINEN,20092010,0.118400913275205
SERGEI_KOSTITSYN,20122013,0.118223902434024
ILYA_KOVALCHUK,20122013,0.11820595643584
MATS_ZUCCARELLO,20132014,0.117834032782068
RYAN_SMYTH,20132014,0.11755478724206
PAVOL_DEMITRA,20092010,0.117380527505186
ALEX_PIETRANGELO,20132014,0.11734089797856
ROMAN_CECHMANEK,20032004,0.116932634213133
CARL_HAGELIN,20132014,0.116875374641951
MIKE_KNUBLE,20122013,0.116620315149388
BRYAN_BICKELL,20132014,0.116584550259333
MIKHAIL_GRABOVSKI,20132014,0.116558324164392
ERIC_WELLWOOD,20112012,0.116415265154286
SEAN_AVERY,20112012,0.116338782422482
TOM_PREISSING,20092010,0.11617061420247
JAMIE_BENN,20132014,0.115687596490405
OLLI_JOKINEN,20132014,0.115687424884036
CHRISTIAN_BACKMAN,20082009,0.115679778358455
JASON_SPEZZA,20132014,0.114838122310301
OLEG_KVASHA,20052006,0.114698933684322
PAUL_STASTNY,20132014,0.114560457029851
JOZEF_STUMPEL,20072008,0.1140603964187
DANY_HEATLEY,20132014,0.113945135726244
MIKE_RICHARDS,20132014,0.113882104475466
JASON_BLAKE,20112012,0.113531357979505
BEN_LOVEJOY,20132014,0.113271842758842
WAYNE_SIMMONDS,20132014,0.111977480042821
DOUG_WEIGHT,20102011,0.111930366698453
EMERSON_ETEM,20132014,0.111579889493189
TOMAS_PLEKANEC,20132014,0.111314087474423
MICHEL_OUELLET,20082009,0.111064425528793
PETER_BONDRA,20062007,0.110839183750748
SAMI_VATANEN,20132014,0.110808559904009
JOSH_BAILEY,20132014,0.110463205132124
JYRKI_LUMME,20022003,0.110460828915363
CLARKE_MACARTHUR,20132014,0.110002230504426
MATS_SUNDIN,20082009,0.108608697090308
JOHN_LECLAIR,20062007,0.10855526616632
JEFFREY_HAMILTON,20082009,0.108493709967652
DEREK_ROY,20132014,0.108209761716673
CHRISTOPHER_TANEV,20132014,0.107590039353574
MARTIN_JONES,20132014,0.107289405296352
ALEXANDER_PEREZHOGIN,20062007,0.106098940487666
MARK_GIORDANO,20132014,0.10605826464784
SLAVA_VOYNOV,20132014,0.105857841569554
ERIC_DAZE,20052006,0.105519805012432
MATT_CARLE,20132014,0.104502642765038
MARTY_HAVLAT,20132014,0.104447998250487
JARED_SPURGEON,20132014,0.10225537512965
CODY_FRANSON,20132014,0.102252999573978
FREDRIK_MODIN,20102011,0.102153771490718
STEVE_SULLIVAN,20122013,0.101623549513404
SHEA_WEBER,20132014,0.10130502173742
ALES_PISA,20022003,0.100903288884949
MICHAL_ROZSIVAL,20132014,0.100736458897628
MATT_DUCHENE,20132014,0.100148931574041
ALES_HEMSKY,20132014,0.100100448525841
LEE_STEMPNIAK,20132014,0.100032526617511
MIIKKA_KIPRUSOFF,20122013,0.0997767426062271
RAFFI_TORRES,20132014,0.0991829967260387
BLAKE_WHEELER,20132014,0.0989735362291058
BRANDON_DUBINSKY,20132014,0.0988224440439525
ANDREW_SHAW,20132014,0.0977903168570009
DAVID_VYBORNY,20072008,0.097631643518419
EVGENY_ARTYUKHIN,20092010,0.0966164359149265
MARTIN_ERAT,20132014,0.0962344438560388
EVANDER_KANE,20132014,0.0947225154499473
JASON_POMINVILLE,20132014,0.0946220538941364
