who|last_active|career_effect|current_effect
PETER_FORSBERG|20102011|0.850995511555619|0
BRAD_MARCHAND|20132014|0.42197901502683|0.42197901502683
SIDNEY_CROSBY|20132014|0.417565524235561|0.417565524235561
MARTIN_GELINAS|20072008|0.402821906531125|0
JOE_THORNTON|20132014|0.394632790741219|0.394632790741219
JONATHAN_TOEWS|20132014|0.373174846239706|0.373174846239706
PAVEL_DATSYUK|20132014|0.364810606087467|0.364810606087467
ERIC_FEHR|20132014|0.358541632291209|0.358541632291209
GABRIEL_LANDESKOG|20132014|0.336178546688598|0.336178546688598
ALEXANDER_SEMIN|20132014|0.333120850818878|0.333120850818878
DANIEL_ALFREDSSON|20132014|0.324929838683003|0.324929838683003
MARIAN_GABORIK|20132014|0.324121409976512|0.324121409976512
MARIAN_HOSSA|20132014|0.323845736785322|0.323845736785322
LOGAN_COUTURE|20132014|0.321720308857155|0.321720308857155
RYAN_GETZLAF|20132014|0.312413249644997|0.312413249644997
ALEX_OVECHKIN|20132014|0.306709670900202|0.306709670900202
TYLER_TOFFOLI|20132014|0.300643327099576|0.300643327099576
ZIGMUND_PALFFY|20052006|0.299104962360295|0
RADIM_VRBATA|20132014|0.2959154654577|0.2959154654577
TEEMU_SELANNE|20132014|0.294549523124586|0.294549523124586
DAVID_PERRON|20132014|0.292222161874844|0.292222161874844
PATRIC_HORNQVIST|20132014|0.283883901134577|0.283883901134577
STEVE_DOWNIE|20132014|0.283048063688993|0.283048063688993
MARTIN_HAVLAT|20122013|0.276009423573082|0
LOUI_ERIKSSON|20132014|0.276005701361938|0.276005701361938
PATRICK_ROY|20022003|0.273897825279149|0
NATHAN_HORTON|20132014|0.269538812496241|0.269538812496241
LADISLAV_NAGY|20072008|0.263667661896039|0
HENRIK_SEDIN|20132014|0.262953942080713|0.262953942080713
ROBERT_LANG|20092010|0.26253044277234|0
MIKKO_KOIVU|20132014|0.261868600079393|0.261868600079393
ZACH_PARISE|20132014|0.257478182340689|0.257478182340689
