who,last_active,mean_effect
IAN_COLE,20132014,0.140398113545779
NICKLAS_BACKSTROM,20132014,0.139905006862346
JOCHEN_HECHT,20122013,0.139699474284091
TAYLOR_HALL,20132014,0.139507740995913
MIKE_RICHARDS,20132014,0.138804197556432
BRYAN_LITTLE,20132014,0.138607073127614
JORDAN_EBERLE,20132014,0.138349255251445
CURTIS_LESCHYSHYN,20032004,0.137753156041698
SIMON_DESPRES,20132014,0.137208217755924
COLIN_WILSON,20132014,0.136861368415466
FERNANDO_PISANI,20102011,0.136646267593173
TRENT_HUNTER,20112012,0.134940143355904
SCOTT_PARSE,20112012,0.134852431352358
JANNIK_HANSEN,20132014,0.134609219670948
LANDON_WILSON,20082009,0.13442143504904
MATT_CULLEN,20132014,0.133804243809181
BRAD_BOYES,20132014,0.132975653237635
BRIAN_RAFALSKI,20102011,0.132915257426757
WOJTEK_WOLSKI,20122013,0.131319459663284
CURTIS_GLENCROSS,20132014,0.130020890882793
ERIK_COLE,20132014,0.129842386109995
MICHAEL_RYDER,20132014,0.129825211162527
VALERI_BURE,20032004,0.129540682626211
BRANDON_SAAD,20132014,0.129227120166764
STEVEN_REINPRECHT,20102011,0.129055330196222
SIMON_GAGNE,20122013,0.128445372115582
RYAN_SMYTH,20132014,0.127991385779901
TOMAS_PLEKANEC,20132014,0.127971945873666
MILAN_LUCIC,20132014,0.127781069546832
DEREK_STEPAN,20132014,0.127366337463403
ANDREI_KOSTITSYN,20112012,0.126219196625277
SCOTTIE_UPSHALL,20132014,0.125626934551105
DAN_BOYLE,20132014,0.125397100764402
MIKAEL_SAMUELSSON,20132014,0.125209178920485
RYAN_MCDONAGH,20132014,0.123352622657225
VLADIMIR_TARASENKO,20132014,0.123211576894268
ERIC_DESJARDINS,20052006,0.123163166885105
MIKHAIL_GRABOVSKI,20132014,0.122543262051352
BRENDAN_GALLAGHER,20132014,0.122404000851758
NIK_ANTROPOV,20122013,0.122142493543088
VIKTOR_KOZLOV,20082009,0.121874739064555
ANDREW_LADD,20132014,0.121537594164888
ADAM_MCQUAID,20132014,0.121064235693139
SERGEI_KOSTITSYN,20122013,0.120876538463925
MATT_CARLE,20132014,0.120341461916201
DUSTIN_BROWN,20132014,0.119865232771422
PAVOL_DEMITRA,20092010,0.119846346849431
DRAKE_BEREHOWSKY,20032004,0.119575958289937
PHIL_KESSEL,20132014,0.119354877585888
ILYA_KOVALCHUK,20122013,0.118961991660108
COREY_PERRY,20132014,0.118230511256362
SEAN_AVERY,20112012,0.117991871433007
PAUL_STASTNY,20132014,0.117719705841215
EMERSON_ETEM,20132014,0.116980702279993
ROMAN_CECHMANEK,20032004,0.116961451967753
BRIAN_CAMPBELL,20132014,0.116265112982423
JASON_SPEZZA,20132014,0.116175539652195
MARK_STREIT,20132014,0.115848379705446
BEAU_BENNETT,20132014,0.115831225565659
MICHEL_OUELLET,20082009,0.115805346294711
MIKE_KNUBLE,20122013,0.115512981905161
VILLE_KOISTINEN,20092010,0.115263538526403
OLLI_JOKINEN,20132014,0.115043047909297
JOZEF_STUMPEL,20072008,0.114856825676811
SLAVA_VOYNOV,20132014,0.114822949603059
BEN_LOVEJOY,20132014,0.114722887977181
DAVID_DESHARNAIS,20132014,0.114186923160923
TOM_PREISSING,20092010,0.114032224485194
JASON_BLAKE,20112012,0.113999891723376
CHRISTIAN_BACKMAN,20082009,0.113912385132649
OLEG_KVASHA,20052006,0.113756867478241
ERIC_WELLWOOD,20112012,0.113422637141566
DEREK_ROY,20132014,0.113113807128166
DOUG_WEIGHT,20102011,0.112970177109288
NATHAN_BEAULIEU,20132014,0.112603250395928
ALEX_GOLIGOSKI,20132014,0.112508369615293
PATRIK_BERGLUND,20132014,0.112441583822512
NATHAN_MACKINNON,20132014,0.112076956860208
DANY_HEATLEY,20132014,0.111666632942222
MATS_SUNDIN,20082009,0.11092252339524
CARL_HAGELIN,20132014,0.110366202933006
BRIAN_GIONTA,20132014,0.110134983354428
PETER_BONDRA,20062007,0.109309860229096
JEFFREY_HAMILTON,20082009,0.107335663491564
JYRKI_LUMME,20022003,0.107225683375476
JOHN_LECLAIR,20062007,0.106996672605873
RYAN_WILSON,20132014,0.106279354618489
FREDRIK_MODIN,20102011,0.106243862007426
STEVE_SULLIVAN,20122013,0.105521642342342
TOMAS_TATAR,20132014,0.105262593756491
MATT_DUCHENE,20132014,0.105192275833922
MARK_GIORDANO,20132014,0.105073642550615
ALEXANDER_PEREZHOGIN,20062007,0.104927120278404
JAMIE_BENN,20132014,0.104565328768241
BRANDON_DUBINSKY,20132014,0.104553763526417
CODY_FRANSON,20132014,0.10427704852863
ERIC_DAZE,20052006,0.103013759746216
LEE_STEMPNIAK,20132014,0.102439581914054
ALEX_PIETRANGELO,20132014,0.102289759082637
EVGENY_ARTYUKHIN,20092010,0.10219125047999
TYLER_ENNIS,20132014,0.101796679420569
ALES_HEMSKY,20132014,0.101653810014386
SHEA_WEBER,20132014,0.100552894946617
RAFFI_TORRES,20132014,0.100500111782731
EVANDER_KANE,20132014,0.100462358224412
BRYAN_BICKELL,20132014,0.10029049290993
MIIKKA_KIPRUSOFF,20122013,0.100017788488482
JASON_POMINVILLE,20132014,0.0999292264995024
DAVID_LEGWAND,20132014,0.0996271492131207
CHRISTOPHER_TANEV,20132014,0.0983575977810979
DAVID_VYBORNY,20072008,0.0981155881153047
CLARKE_MACARTHUR,20132014,0.0980032287434897
PATRICK_WIERCIOCH,20132014,0.0976498888708926
KRIS_VERSTEEG,20132014,0.0969251386714368
CHRISTIAN_EHRHOFF,20132014,0.096669360750618
WAYNE_SIMMONDS,20132014,0.0960740683164911
JOSH_BAILEY,20132014,0.0954886819860781
R.J._UMBERGER,20132014,0.095449995693588
MIKE_JOHNSON,20072008,0.0950239955641535
ALES_PISA,20022003,0.0947449933136667
MATHIEU_SCHNEIDER,20092010,0.0946005279514138
ALEX_KOVALEV,20122013,0.0944604831319354
MICHAL_ROZSIVAL,20132014,0.094293899451013
OWEN_NOLAN,20092010,0.0939135006643124
BLAKE_WHEELER,20132014,0.0936565563349671
BENN_FERRIERO,20122013,0.0933179336393954
DALTON_PROUT,20132014,0.0926478666095656
MATHIEU_PERREAULT,20132014,0.0923980728770079
MICHAEL_GRABNER,20132014,0.0917670348121127
DAVID_VAN DER GULIK,20122013,0.091721138502888
MARC-EDOUARD_VLASIC,20132014,0.0914703888617263
MARTIN_ERAT,20132014,0.0914591946142763
NICK_JOHNSON,20122013,0.0913563804978513
VACLAV_PROSPAL,20122013,0.0911456186817226
CRAIG_ANDERSON,20132014,0.0908370144511023
BRANDON_PIRRI,20132014,0.0907222565087258
NIKOLAI_ZHERDEV,20102011,0.0906927670805917
MICHAEL_SAUER,20112012,0.0902923183429615
SERGEI_ZUBOV,20082009,0.0899094079875659
BRANDON_SUTTER,20132014,0.0894064433585482
THOMAS_HICKEY,20132014,0.0891855442098075
MAREK_SVATOS,20102011,0.0886616027787561
ALEC_MARTINEZ,20132014,0.0886482023201428
MARC-ANDRE_GRAGNANI,20112012,0.08844680083031
BRIAN_ROLSTON,20112012,0.0883517416216286
VYACHESLAV_KOZLOV,20092010,0.0881369994277043
JAROSLAV_SPACEK,20112012,0.0877910961058321
JASON_DEMERS,20132014,0.0877597875155723
PAUL_BYRON,20132014,0.087358521079769
TRAVIS_ZAJAC,20132014,0.0862095182717974
BRENDEN_MORROW,20132014,0.0859916479629369
TIM_THOMAS,20132014,0.0859780005733607
JARED_SPURGEON,20132014,0.085890915440111
IAN_WHITE,20122013,0.085810939187494
MIKE_DUNHAM,20062007,0.0857903693663815
RYAN_KESLER,20132014,0.0857359120986223
PHILIPPE_BOUCHER,20082009,0.0853374099518937
MARTY_HAVLAT,20132014,0.08498037933367
ROMAN_HAMRLIK,20122013,0.0848013544288271
MICHAEL_NYLANDER,20082009,0.0845578479401216
SPENCER_MACHACEK,20112012,0.0843724992545538
JAKOB_SILFVERBERG,20132014,0.0843106425815798
ERIC_BOGUNIECKI,20052006,0.08374581685227
TYLER_JOHNSON,20132014,0.0836766273007509
AL_MONTOYA,20132014,0.0836286125613271
MIKE_MOTTAU,20132014,0.0835648626756856
JONATHAN_CHEECHOO,20092010,0.0832516290533643
P.A._PARENTEAU,20132014,0.0831299071459856
JERE_LEHTINEN,20092010,0.082804854777585
TONY_AMONTE,20062007,0.0825905083215628
OLIVER_EKMAN-LARSSON,20132014,0.0820669443634169
MAX_PACIORETTY,20132014,0.0818048759979617
DAVID_AEBISCHER,20072008,0.0817399029650004
JOFFREY_LUPUL,20132014,0.0816663218301941
OLEG_SAPRYKIN,20062007,0.0812522048806816
JASON_HOLLAND,20032004,0.0811472157946607
CAM_WARD,20132014,0.0808582651380494
RAY_WHITNEY,20132014,0.0808035176583833
KRISTIAN_HUSELIUS,20112012,0.0807469726024905
DAVID_SCHLEMKO,20132014,0.0806796441632441
ANDY_HILBERT,20092010,0.0803852100603469
MATS_ZUCCARELLO,20132014,0.0802981114567155
ANDREW_BRUNETTE,20112012,0.0802317272952759
SERGEI_SAMSONOV,20102011,0.0801308576361388
KEVIN_SHATTENKIRK,20132014,0.0800874350903238
MIROSLAV_SATAN,20092010,0.0797556724850648
PETR_SYKORA,20112012,0.0796672341166272
SERGEI_FEDOROV,20082009,0.0791949206156954
NICK_FOLIGNO,20132014,0.0790535487753145
CORY_CONACHER,20132014,0.0789531570526157
MILAN_MICHALEK,20132014,0.0788331971712578
DAVE_BOLLAND,20132014,0.0786495330734285
STEPHANE_ROBIDAS,20132014,0.0784635769668947
DANNY_DEKEYSER,20132014,0.0783566188413802
DARIUS_KASPARAITIS,20062007,0.0780500762119504
VIKTOR_FASTH,20132014,0.0775469295725486
CHAD_JOHNSON,20132014,0.0774639751002398
ANDREW_SHAW,20132014,0.0774064137663584
PETER_BUDAJ,20132014,0.0769812141242875
JOHN_GRAHAME,20072008,0.0768021754194518
MARK_SCHEIFELE,20132014,0.0766575021655545
MATTHEW_BARNABY,20062007,0.076546495666179
DANIEL_PAILLE,20132014,0.0762157948970956
ROBERTO_LUONGO,20132014,0.0759602566089886
PIERRE_TURGEON,20062007,0.0759249975208832
STEVE_OLEKSY,20132014,0.075876916721713
DREW_STAFFORD,20132014,0.0758668067798306
MARK_CULLEN,20112012,0.0756573495019071
ERIK_CONDRA,20132014,0.0756531900868566
JOE_CALLAHAN,20102011,0.0754217640873387
ANDREW_COGLIANO,20132014,0.0752651413073587
VALTTERI_FILPPULA,20132014,0.075238808897723
MARTIN_RUCINSKY,20072008,0.075143408445177
MIKE_GREEN,20132014,0.0751303225935135
MARCUS_NILSON,20072008,0.0749587919793422
SCOTT_MELLANBY,20062007,0.0749185883932011
JAN_HRDINA,20052006,0.0741578637012502
JOE_CORVO,20132014,0.0739430646424093
DON_SWEENEY,20032004,0.0737257582525845
KARI_LEHTONEN,20132014,0.0729138711730372
MARK_BARBERIO,20132014,0.0728576678577944
JEFF_ZATKOFF,20132014,0.0723627961627111
JEAN-PIERRE_DUMONT,20102011,0.0723602441094405
MARC-ANTOINE_POULIOT,20112012,0.0722431997858221
RYAN_ELLIS,20132014,0.0721099496165881
BRYAN_MCCABE,20102011,0.0719395683616362
CHRIS_NEIL,20132014,0.0718449460197526
RYAN_GARBUTT,20132014,0.071693227412804
COREY_CRAWFORD,20132014,0.0713277804972331
LUBOS_BARTECKO,20022003,0.0708608409403868
KYLE_PALMIERI,20132014,0.0704859943716144
RYAN_SUTER,20132014,0.0700990290336143
RILEY_SHEAHAN,20132014,0.0698136561905292
JARRET_STOLL,20132014,0.069746397410347
TY_WISHART,20102011,0.0694079505854398
ALEKSEY_MOROZOV,20032004,0.069363076243942
JAROSLAV_BALASTIK,20062007,0.0692969741581965
ALLAN_ROURKE,20072008,0.0686798575222397
MARTIN_JONES,20132014,0.0686127104745473
ED_BELFOUR,20062007,0.068454440603638
JURAJ_KOLNIK,20062007,0.0684433046329769
BRENDAN_SHANAHAN,20082009,0.0683005188343099
KEITH_CARNEY,20072008,0.0680286553817764
BRYAN_MUIR,20062007,0.06788408420186
STAN_NECKAR,20032004,0.0678578433501191
TOREY_KRUG,20132014,0.0678475091455816
ERIC_STAAL,20132014,0.0677451501875371
CLAYTON_STONER,20132014,0.0676758887953618
MATT_COOKE,20132014,0.067444962198252
