who,last_active,career_effect,current_effect
DUSTIN_BOYD,20102011,-0.0863312861304752,0
JODY_SHELLEY,20112012,-0.0868306761717383,0
DOUGLAS_MURRAY,20132014,-0.0873853143674458,-0.0873853143674458
KURT_SAUER,20092010,-0.0885009922171679,0
SAMI_KAPANEN,20072008,-0.0886915947034849,0
MARCO_SCANDELLA,20132014,-0.0903488411218034,-0.0903488411218034
MATT_GREENE,20132014,-0.0905133562003156,-0.0905133562003156
ETHAN_MOREAU,20112012,-0.0912284423643612,0
KEVIN_KLEIN,20132014,-0.0971167368912143,-0.0971167368912143
AKI_BERG,20052006,-0.0996842764130777,0
RADEK_BONK,20082009,-0.0998072644173742,0
AARON_ROME,20132014,-0.101829938382457,-0.101829938382457
ANDY_SUTTON,20112012,-0.10372777768897,0
DANY_SABOURIN,20082009,-0.104095341514241,0
MATTIAS_NORSTROM,20072008,-0.105499963488306,0
JAY_HARRISON,20132014,-0.105875406145454,-0.105875406145454
BRAD_WINCHESTER,20112012,-0.105891255195248,0
ANDREW_PETERS,20092010,-0.105970687073988,0
MIKAEL_HOLMQVIST,20062007,-0.106240090657876,0
DIMITRY_AFANASENKOV,20062007,-0.107372776592777,0
ANDREW_FERENCE,20132014,-0.107815622924641,-0.107815622924641
ANDREI_ZYUZIN,20072008,-0.108340038629814,0
BRIAN_LEE,20122013,-0.10900157430644,0
JED_ORTMEYER,20112012,-0.109245386693428,0
MIKE_KOMISAREK,20132014,-0.109267561606292,-0.109267561606292
SCOTT_HANNAN,20132014,-0.109953566166478,-0.109953566166478
KONSTANTIN_KOLTSOV,20052006,-0.110110601503837,0
SHAWN_BATES,20072008,-0.111835636164966,0
VLADIMIR_MALAKHOV,20052006,-0.112239057094212,0
CALE_HULSE,20052006,-0.112394318878977,0
ERIC_BREWER,20132014,-0.112582909517158,-0.112582909517158
HANNU_TOIVONEN,20072008,-0.112590699156808,0
KARLIS_SKRASTINS,20102011,-0.113189403609482,0
RICO_FATA,20062007,-0.118062448389822,0
ADAM_HALL,20132014,-0.118465838583198,-0.118465838583198
GREGORY_CAMPBELL,20132014,-0.120971829661585,-0.120971829661585
STEVE_EMINGER,20122013,-0.122780407378336,0
MAXIM_LAPIERRE,20132014,-0.125352622942491,-0.125352622942491
BRAD_LARSEN,20072008,-0.127325342365706,0
TYLER_WRIGHT,20052006,-0.128787529155455,0
ERIC_CAIRNS,20052006,-0.128947923003144,0
RIC_JACKMAN,20062007,-0.129555281564923,0
MATT_MARTIN,20132014,-0.129895302517726,-0.129895302517726
