player,season,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po
GABRIEL_LANDESKOG,20112012,0.25,0.56,271.99,285,0.57,0,0.5,0,0,0
CLAUDE_GIROUX,20102011,0.23,0.56,265.9,242,0.55,0.28,0.57,53.2,120,0.66
MATS_SUNDIN,20072008,0.24,0.56,265.02,395,0.59,0,0.5,0,0,0
ALEX_OVECHKIN,20062007,0.22,0.55,264.98,413,0.58,0,0.5,0,0,0
SIDNEY_CROSBY,20072008,0.32,0.58,263.4,300,0.59,0.32,0.58,103.88,102,0.58
DAVID_BACKES,20082009,0.27,0.57,263.39,146,0.54,0.27,0.57,16.14,27,0.61
NIKOLAI_ZHERDEV,20072008,0.26,0.57,261.01,471,0.62,0,0.5,0,0,0
NICKLAS_BACKSTROM,20072008,0.24,0.56,260.29,635,0.65,0.24,0.56,25.61,46,0.61
MIKKO_KOIVU,20082009,0.22,0.55,260.19,123,0.53,0,0.5,0,0,0
JAROMIR_JAGR,20072008,0.22,0.56,260,696,0.65,0.22,0.56,28.58,73,0.64
COREY_PERRY,20112012,0.23,0.56,259.56,380,0.58,0,0.5,0,0,0
JOCHEN_HECHT,20102011,0.32,0.58,259.22,132,0.54,0.32,0.58,4.1,8,0.65
PATRIK_ELIAS,20072008,0.28,0.57,258.78,479,0.63,0.28,0.57,22.05,18,0.56
DANIEL_WINNIK,20102011,0.29,0.57,258.5,-169,0.45,0,0.5,0,0,0
PAVEL_DATSYUK,20092010,0.23,0.56,258.48,542,0.62,0.23,0.56,41.9,70,0.6
JAROMIR_JAGR,20062007,0.21,0.55,258.13,698,0.64,0.21,0.55,31.25,57,0.6
DUSTIN_BROWN,20112012,0.22,0.56,255.92,376,0.58,0.22,0.56,63.26,121,0.61
DANIEL_ALFREDSSON,20052006,0.22,0.55,255.62,530,0.61,0.22,0.55,32.25,76,0.63
SEAN_BERGENHEIM,20102011,0.33,0.58,254.79,147,0.55,0.33,0.58,52.15,-11,0.48
MIKAEL_SAMUELSSON,20092010,0.29,0.57,252.71,420,0.62,0.33,0.58,49.88,93,0.65
JUSTIN_WILLIAMS,20062007,0.22,0.56,251.1,328,0.57,0,0.5,0,0,0
ALES_HEMSKY,20052006,0.29,0.57,250.96,578,0.67,0.29,0.57,64.77,117,0.63
ZACH_PARISE,20112012,0.22,0.56,248.18,252,0.56,0.22,0.56,78.87,66,0.55
NATHAN_HORTON,20102011,0.26,0.56,248.01,334,0.59,0.26,0.56,68.31,100,0.59
DAVID_BOOTH,20102011,0.21,0.55,247.41,244,0.55,0,0.5,0,0,0
MARCO_STURM,20052006,0.28,0.57,247.25,381,0.61,0,0.5,0,0,0
ALEXEI_PONIKAROVSKY,20082009,0.27,0.57,247.2,265,0.57,0,0.5,0,0,0
ALEXEI_PONIKAROVSKY,20112012,0.32,0.58,247.09,231,0.57,0.32,0.58,58.36,28,0.54
MARIAN_HOSSA,20082009,0.26,0.56,246.47,551,0.64,0.26,0.56,81.82,169,0.63
