player,season,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po,beta.avg,prob.avg,ppm.avg,pm.avg,fp.avg
ALES_KOTALIK,20032004,0.14,0.53,56.93,104,0.56,0,0.5,0,0,0,0.14,0.53,57.17,104,0.56
JERE_LEHTINEN,20052006,0.05,0.51,56.92,202,0.54,0.05,0.51,4.76,13,0.53,0.05,0.51,66.18,215,0.54
MARTIN_RUCINSKY,20032004,0.08,0.52,56.8,142,0.55,0.08,0.52,3.38,2,0.51,0.08,0.52,60.55,144,0.55
COLIN_WILSON,20122013,0.17,0.54,56.77,63,0.55,0,0.5,0,0,0,0.17,0.54,57.55,63,0.55
JASON_LABARBERA,20052006,0.05,0.51,56.7,0,0.5,0,0.5,0,0,0,0.05,0.51,61.29,0,0.5
ROBERT_NILSSON,20052006,0.1,0.52,56.69,129,0.56,0,0.5,0,0,0,0.1,0.52,55.57,129,0.56
ENVER_LISIN,20082009,0.09,0.52,56.69,-20,0.49,0,0.5,0,0,0,0.09,0.52,56.79,-20,0.49
ADAM_HENRIQUE,20122013,0.09,0.52,56.69,202,0.58,0,0.5,0,0,0,0.09,0.52,56.38,202,0.58
RAFFI_TORRES,20072008,0.12,0.53,56.57,-3,0.5,0,0.5,0,0,0,0.12,0.53,56.57,-3,0.5
PETR_NEDVED,20032004,0.08,0.52,56.54,144,0.55,0,0.5,0,0,0,0.09,0.52,58.3,144,0.55
RYANE_CLOWE,20062007,0.09,0.52,56.54,158,0.56,0.09,0.52,11.45,16,0.53,0.09,0.52,68.04,174,0.56
PIERRE_TURGEON,20032004,0.13,0.53,56.33,206,0.62,0.13,0.53,4.18,27,0.71,0.14,0.54,63.99,233,0.63
JEFF_CARTER,20052006,0.07,0.52,56.3,266,0.58,0.07,0.52,4.17,-8,0.47,0.06,0.52,56.43,258,0.57
DAN_CARCILLO,20082009,0.07,0.52,56.27,-86,0.47,0.07,0.52,2.4,10,0.57,0.07,0.52,58.08,-76,0.48
MATT_READ,20122013,0.08,0.52,56.1,-48,0.48,0,0.5,0,0,0,0.08,0.52,55.58,-48,0.48
ROSTISLAV_OLESZ,20102011,0.1,0.52,55.94,26,0.51,0,0.5,0,0,0,0.1,0.52,55.14,26,0.51
DEVAN_DUBNYK,20122013,0.03,0.51,55.92,-446,0.44,0,0.5,0,0,0,0.03,0.51,65.78,-446,0.44
RADIM_VRBATA,20022003,0.13,0.53,55.91,160,0.59,0,0.5,0,0,0,0.13,0.53,55.86,160,0.59
DRAYSON_BOWMAN,20132014,0.12,0.53,55.88,-88,0.45,0,0.5,0,0,0,0.12,0.53,57,-88,0.45
JUSTIN_WILLIAMS,20022003,0.27,0.57,55.87,112,0.63,0.27,0.57,19.69,20,0.57,0.27,0.57,76.01,132,0.62
PATRICK_WIERCIOCH,20122013,0.09,0.52,55.87,332,0.63,0.09,0.52,0.21,3,0.8,0.1,0.52,63.37,335,0.63
VIKTOR_KOZLOV,20022003,0.07,0.52,55.86,-39,0.49,0,0.5,0,0,0,0.07,0.52,55.53,-39,0.49
SCOTT_HARTNELL,20032004,0.13,0.53,55.86,119,0.57,0.13,0.53,5.24,-3,0.48,0.13,0.53,62.54,116,0.56
ALEXANDER_RADULOV,20062007,0.09,0.52,55.81,64,0.53,0.09,0.52,3.93,-9,0.45,0.09,0.52,58.07,55,0.52
DEAN_MCAMMOND,20072008,0.09,0.52,55.81,-52,0.48,0.09,0.52,4.35,-26,0.37,0.09,0.52,61.91,-78,0.47
WOJTEK_WOLSKI,20122013,0.18,0.54,55.75,72,0.56,0,0.5,0,0,0,0.15,0.54,47.62,72,0.56
NIKLAS_KRONWALL,20082009,0.03,0.51,55.71,537,0.58,0.03,0.51,16.42,139,0.57,0.03,0.51,65.73,676,0.58
ALEXANDER_PEREZHOGIN,20052006,0.09,0.52,55.63,161,0.56,0.09,0.52,7.19,13,0.54,0.09,0.52,62,174,0.56
ANDY_MCDONALD,20122013,0.1,0.52,55.6,143,0.56,0.1,0.52,8.67,33,0.59,0.1,0.53,65.88,176,0.57
CAL_CLUTTERBUCK,20132014,0.1,0.53,55.53,-85,0.46,0,0.5,0,0,0,0.1,0.53,53.63,-85,0.46
MATHIEU_DARCHE,20092010,0.2,0.55,55.52,12,0.51,0.2,0.55,12.07,-5,0.48,0.19,0.55,66.27,7,0.51
BRAD_BOYES,20072008,0.04,0.51,55.48,308,0.56,0,0.5,0,0,0,0.05,0.51,58.3,308,0.56
HENRIK_ZETTERBERG,20032004,0.11,0.53,55.47,124,0.56,0.11,0.53,11.49,31,0.57,0.11,0.53,70.55,155,0.56
NICK_PALMIERI,20102011,0.12,0.53,55.46,64,0.53,0,0.5,0,0,0,0.12,0.53,57.45,64,0.53
MARK_GIORDANO,20122013,0.06,0.51,55.38,-111,0.47,0,0.5,0,0,0,0.06,0.52,58.83,-111,0.47
NIKOLAI_KULEMIN,20112012,0.05,0.51,55.36,-23,0.49,0,0.5,0,0,0,0.05,0.51,55.06,-23,0.49
PETER_FORSBERG,20032004,0.16,0.54,55.34,210,0.65,0.16,0.54,14.44,49,0.64,0.18,0.54,76.47,259,0.65
MIKE_GRIER,20052006,0.05,0.51,55.34,-168,0.46,0.05,0.51,14.86,10,0.51,0.06,0.52,81.34,-158,0.47
CLIFF_RONNING,20032004,0.29,0.57,55.27,147,0.69,0.29,0.57,3.01,7,0.67,0.29,0.57,58.89,154,0.69
RICK_DIPIETRO,20052006,0.02,0.5,55.24,-100,0.49,0,0.5,0,0,0,0.02,0.5,51.57,-100,0.49
JARRET_STOLL,20082009,0.05,0.51,55.06,234,0.55,0,0.5,0,0,0,0.05,0.51,60.43,234,0.55
PAUL_SZCZECHURA,20082009,0.15,0.54,55,-95,0.44,0,0.5,0,0,0,0.15,0.54,56.24,-95,0.44
TIM_JACKMAN,20092010,0.12,0.53,54.98,-194,0.4,0,0.5,0,0,0,0.12,0.53,54.73,-194,0.4
JONATHAN_HUBERDEAU,20132014,0.1,0.52,54.96,92,0.54,0,0.5,0,0,0,0.1,0.53,56.3,92,0.54
MARTIN_HAVLAT,20112012,0.08,0.52,54.87,125,0.55,0.08,0.52,6.75,23,0.57,0.09,0.52,67,148,0.55
TOM_WILSON,20132014,0.17,0.54,54.87,-45,0.46,0,0.5,0,0,0,0.2,0.55,64.33,-45,0.46
JERE_LEHTINEN,20022003,0.1,0.52,54.76,109,0.55,0.1,0.52,10.64,15,0.53,0.1,0.52,65.49,124,0.55
KEITH_YANDLE,20072008,0.1,0.52,54.76,147,0.56,0,0.5,0,0,0,0.1,0.52,54.75,147,0.56
JOAKIM_ANDERSSON,20122013,0.14,0.54,54.71,58,0.54,0.14,0.54,24.71,-32,0.45,0.12,0.53,67.46,26,0.51
SHEAN_DONOVAN,20062007,0.06,0.52,54.6,-227,0.43,0,0.5,0,0,0,0.07,0.52,57.4,-227,0.43
MILAN_MICHALEK,20092010,0.05,0.51,54.59,66,0.51,0.05,0.51,0.45,-4,0.39,0.06,0.52,69.72,62,0.51
