player,season,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po,beta.avg,prob.avg,ppm.avg,pm.avg,fp.avg
HENRIK_LUNDQVIST,20102011,0.16,0.54,27.29,29,0.54,0.16,0.54,1.64,-6,0.35,0.16,0.54,27.52,23,0.53
ALEX_OVECHKIN,20062007,0.28,0.57,27.25,33,0.59,0,0.5,0,0,0,0.29,0.57,27.79,33,0.59
ALEX_OVECHKIN,20052006,0.28,0.57,27.11,52,0.64,0,0.5,0,0,0,0.29,0.57,27.65,52,0.64
ALEX_OVECHKIN,20092010,0.28,0.57,26.97,101,0.76,0.28,0.57,2.82,6,0.65,0.29,0.57,30.39,107,0.75
DAVID_BACKES,20102011,0.31,0.58,26.64,39,0.61,0,0.5,0,0,0,0.29,0.57,24.85,39,0.61
ALEXANDER_SEMIN,20062007,0.36,0.59,26.58,46,0.65,0,0.5,0,0,0,0.34,0.59,25.59,46,0.65
MIIKKA_KIPRUSOFF,20072008,0.13,0.53,26.25,4,0.51,0.13,0.53,1.91,-7,0.38,0.13,0.53,27.82,-3,0.5
SIDNEY_CROSBY,20072008,0.41,0.6,26.16,50,0.69,0.41,0.6,8.85,24,0.77,0.4,0.6,34.36,74,0.71
HENRIK_SEDIN,20102011,0.29,0.57,26.1,80,0.72,0.29,0.57,8.23,4,0.53,0.27,0.57,32.9,84,0.67
VINCENT_LECAVALIER,20062007,0.44,0.61,26.03,17,0.57,0,0.5,0,0,0,0.4,0.6,23.62,17,0.57
HENRIK_LUNDQVIST,20062007,0.16,0.54,25.98,35,0.56,0.16,0.54,4.26,8,0.58,0.16,0.54,28.77,43,0.56
MARIAN_GABORIK,20072008,0.31,0.58,25.74,43,0.63,0.31,0.58,1.72,-5,0.27,0.31,0.58,26.97,38,0.61
NICKLAS_LIDSTROM,20052006,0.22,0.55,25.72,56,0.62,0.22,0.55,2.05,-5,0.37,0.22,0.55,27.54,51,0.6
JAROMIR_JAGR,20062007,0.3,0.57,25.7,75,0.72,0.3,0.57,3.12,13,0.81,0.26,0.57,25.38,88,0.73
CHRIS_PRONGER,20092010,0.25,0.56,25.66,33,0.58,0.25,0.56,9.1,14,0.6,0.25,0.56,33.72,47,0.59
MIIKKA_KIPRUSOFF,20062007,0.13,0.53,25.59,46,0.56,0.13,0.53,1.78,-7,0.37,0.13,0.53,27.04,39,0.55
THOMAS_VANEK,20062007,0.33,0.58,25.45,80,0.76,0.33,0.58,3.43,5,0.62,0.3,0.57,26.48,85,0.74
MARC-ANDRE_FLEURY,20112012,0.14,0.53,25.13,60,0.58,0.14,0.53,3.61,0,0.5,0.07,0.52,15.16,60,0.57
LUBOMIR_VISNOVSKY,20092010,0.31,0.58,25.04,35,0.61,0,0.5,0,0,0,0.31,0.58,24.98,35,0.61
PAVEL_DATSYUK,20112012,0.4,0.6,24.76,40,0.66,0.4,0.6,1.18,0,0.5,0.36,0.59,23.66,40,0.65
ANDREI_MARKOV,20062007,0.28,0.57,24.64,36,0.6,0,0.5,0,0,0,0.27,0.57,23.94,36,0.6
MIIKKA_KIPRUSOFF,20102011,0.13,0.53,24.6,9,0.51,0,0.5,0,0,0,0.13,0.53,24.3,9,0.51
MATT_MOULSON,20102011,0.32,0.58,24.55,19,0.56,0,0.5,0,0,0,0.32,0.58,24.41,19,0.56
LUBOMIR_VISNOVSKY,20072008,0.25,0.56,24.53,14,0.54,0,0.5,0,0,0,0.27,0.57,26.08,14,0.54
JONATHAN_TOEWS,20092010,0.3,0.57,24.48,52,0.66,0.3,0.57,9.41,7,0.56,0.3,0.57,33.77,59,0.63
TEEMU_SELANNE,20052006,0.31,0.58,24.45,80,0.75,0.31,0.58,4.33,8,0.64,0.29,0.57,26.88,88,0.74
JOE_THORNTON,20052006,0.39,0.6,24.27,34,0.63,0.39,0.6,2.12,1,0.55,0.37,0.59,25.3,35,0.63
LOGAN_COUTURE,20112012,0.36,0.59,24.16,23,0.58,0.36,0.59,1.23,-1,0.43,0.34,0.59,24.55,22,0.58
MARIAN_HOSSA,20062007,0.25,0.56,24.14,51,0.63,0.25,0.56,1.26,-8,0.1,0.26,0.56,25.61,43,0.61
CHRIS_PRONGER,20082009,0.21,0.55,24.01,17,0.54,0.21,0.55,3.56,8,0.62,0.22,0.56,29.19,25,0.55
NICKLAS_LIDSTROM,20082009,0.22,0.55,23.99,48,0.61,0.22,0.55,5.94,13,0.62,0.22,0.55,29.68,61,0.61
MILAN_HEJDUK,20022003,0.3,0.57,23.94,85,0.76,0.3,0.57,2.06,4,0.64,0.27,0.57,23.61,89,0.75
ZACH_PARISE,20082009,0.3,0.58,23.89,70,0.72,0.3,0.58,1.51,4,0.7,0.27,0.57,22.54,74,0.72
JONATHAN_TOEWS,20082009,0.3,0.57,23.89,48,0.65,0.3,0.57,4.48,6,0.6,0.3,0.57,28.26,54,0.64
NICKLAS_LIDSTROM,20102011,0.22,0.55,23.78,24,0.55,0.22,0.55,2.49,15,0.83,0.22,0.55,26.04,39,0.58
PAVEL_DATSYUK,20102011,0.4,0.6,23.77,31,0.63,0.4,0.6,4.72,16,0.83,0.36,0.59,25.99,47,0.66
HENRIK_LUNDQVIST,20112012,0.16,0.54,23.52,41,0.57,0.16,0.54,6.48,3,0.52,0.16,0.54,28.54,44,0.56
RYAN_GETZLAF,20082009,0.24,0.56,23.47,55,0.64,0.24,0.56,4.13,14,0.71,0.25,0.56,28.32,69,0.65
DANIEL_ALFREDSSON,20052006,0.24,0.56,23.43,78,0.7,0.24,0.56,2.75,7,0.65,0.24,0.56,26.22,85,0.69
MARIAN_GABORIK,20112012,0.31,0.58,23.4,46,0.65,0.31,0.58,5.3,10,0.65,0.31,0.58,28.2,56,0.65
NICKLAS_LIDSTROM,20022003,0.22,0.55,23.24,53,0.62,0.22,0.55,0.76,1,0.57,0.22,0.55,23.79,54,0.62
NICKLAS_LIDSTROM,20072008,0.22,0.55,23.24,65,0.65,0.22,0.55,5.4,14,0.64,0.22,0.55,28.4,79,0.65
DANIEL_ALFREDSSON,20072008,0.24,0.56,23.19,30,0.58,0.24,0.56,0.48,-2,0.25,0.24,0.56,23.7,28,0.57
MARIAN_HOSSA,20052006,0.25,0.56,23.12,67,0.68,0,0.5,0,0,0,0.26,0.56,23.32,67,0.68
NICKLAS_LIDSTROM,20062007,0.22,0.55,23.02,63,0.65,0.22,0.55,4.43,9,0.61,0.22,0.55,27.22,72,0.64
BOBBY_RYAN,20102011,0.25,0.56,22.83,27,0.57,0.25,0.56,1.23,4,0.7,0.24,0.56,23.55,31,0.58
TEEMU_SELANNE,20062007,0.31,0.58,22.75,75,0.76,0.31,0.58,3.87,9,0.68,0.29,0.57,24.86,84,0.74
TEEMU_SELANNE,20112012,0.31,0.58,22.75,33,0.61,0,0.5,0,0,0,0.29,0.57,21.24,33,0.61
HENRIK_SEDIN,20072008,0.29,0.57,22.69,48,0.65,0,0.5,0,0,0,0.27,0.57,21.76,48,0.65
HENRIK_SEDIN,20082009,0.29,0.57,22.69,54,0.67,0.29,0.57,3.12,10,0.73,0.27,0.57,24.75,64,0.68
STEVEN_STAMKOS,20112012,0.21,0.55,22.62,38,0.59,0,0.5,0,0,0,0.19,0.55,20.07,38,0.59
ANDREI_MARKOV,20052006,0.28,0.57,22.59,35,0.61,0.28,0.57,1.51,3,0.64,0.27,0.57,23.41,38,0.61
ALEX_OVECHKIN,20112012,0.28,0.57,22.59,28,0.59,0.28,0.57,3.25,3,0.57,0.29,0.57,26.35,31,0.58
STEVEN_STAMKOS,20092010,0.21,0.55,22.52,37,0.59,0,0.5,0,0,0,0.19,0.55,19.98,37,0.59
ALEXANDER_SEMIN,20112012,0.36,0.59,22.5,27,0.61,0.36,0.59,2.84,0,0.5,0.34,0.59,24.4,27,0.59
DANIEL_ALFREDSSON,20062007,0.24,0.56,22.48,70,0.69,0.24,0.56,4.66,9,0.62,0.24,0.56,27.18,79,0.67
TEEMU_SELANNE,20102011,0.31,0.58,22.44,49,0.67,0.31,0.58,2.48,2,0.56,0.29,0.57,23.27,51,0.66
ANZE_KOPITAR,20072008,0.24,0.56,22.34,14,0.54,0,0.5,0,0,0,0.23,0.56,21.58,14,0.54
SIDNEY_CROSBY,20102011,0.41,0.6,22.34,45,0.7,0,0.5,0,0,0,0.4,0.6,21.92,45,0.7
CHRIS_PRONGER,20052006,0.21,0.55,22.33,37,0.59,0.21,0.55,6.61,11,0.59,0.22,0.56,30.64,48,0.59
LOUI_ERIKSSON,20092010,0.23,0.56,22.18,7,0.52,0,0.5,0,0,0,0.22,0.55,21.35,7,0.52
