OTT|0.222519476964805
STL|0.17731892309894
PHI|0.154601731770214
SJS|0.117784735835359
FLA|0.0976040749255877
COL|0.0951649303915186
ANA|0.0892338807074385
NSH|0.0872633827021809
TBL|0.0786715981759839
NJD|0.050374680869212
CHI|0.0466249578113865
CBJ|0.0337381570655159
DAL|0.0297779099249581
BUF|0.0236656738436358
EDM|0.016821725588784
ATL|-0.00787342508851212
PHX|-0.0141275688558262
DET|-0.0180255319718499
NYR|-0.0219680196927045
NYI|-0.0373392805491199
BOS|-0.0399767364879856
MIN|-0.0423900586542596
WPG|-0.0428922780953163
CAR|-0.0763879687841265
LAK|-0.0956772232613607
VAN|-0.100053672072147
CGY|-0.104685381621054
MTL|-0.106077854657984
WSH|-0.106332534045617
PIT|-0.165362474746562
TOR|-0.168090677491485
