player,position,beta.goals,beta.corsi,beta.fenwick,ppm.goals,ppm.corsi,ppm.fenwick
ERIC_TANGRADI,C,0,0.162232241933366,0.160674116804642,0,160.825153200135,118.162724296921
BRAD_THIESSEN,G,0,0.0422150319834211,0.0230808058345177,0,11.1431136392505,4.5928764684062
SERGEI_BOBROVSKY,G,0.0796662520510822,-0.0872436055002913,-0.0941178679330123,32.2477782718526,-720.524194528268,-574.11878372384
ZAC_DALPE,C,0,-0.0432284727031696,-0.0371754926636402,0,-28.2886302724618,-18.567020306204
JEFF_SKINNER,C,0,0.153292589084554,0.102259983057841,0,637.369306518628,317.649527709154
NICK_LEDDY,D,-0.114143340081491,-0.0585624215581507,-0.078173916616032,-25.3693549999866,-253.415020744408,-253.896854826644
MARK_OLVER,C,0,0.0210221292683897,0,0,15.6083561693816,0
T.J._BRODIE,D,0,0.0387953237596941,0.0127252133076479,0,96.6076372985373,23.0832254499957
JORDAN_EBERLE,C,0.194479885345701,0.170952740357051,0.164283179469154,48.5642395700869,742.179698945526,536.574730849204
TAYLOR_HALL,L,0.146287964501816,0.203586990103084,0.169274344313137,33.4403294064982,822.401273812588,512.102226312562
HENRIK_KARLSSON,G,0,0,0,0,0,0
MAGNUS_PAAJARVI,L,0,0.129370042594687,0.140394284006415,0,306.761439942787,247.039285347738
TOMMY_WINGELS,C,0,0.0452447701292198,0.0425083889817598,0,94.0025969003475,64.2417566967458
MATT_TAORMINA,D,0,-0.0325568345982654,-0.0607743997338611,0,-24.0248218835583,-35.11679497368
ALEXANDER_URBOM,D,0,-0.211391202100549,-0.145077111991695,0,-62.1292166545255,-33.0920986410219
CAM_FOWLER,D,-0.137007048864399,-0.0401370478466212,-0.116685325164041,-32.761956525336,-199.494483719274,-439.987995642533
ALEXANDER_BURMISTROV,C,0,0.0951456587423669,0.0964699947076515,0,242.486100796011,183.440157118278
MARCUS_JOHANSSON,C,-0.00685347723118836,0.00507641412392574,0,-1.38097025672364,21.135604816308,0
OLIVER_EKMAN-LARSSON,D,0.138860562236866,0.149110756426329,0.0713425347257206,33.065130302144,772.082038317815,278.617118738234
TYLER_SEGUIN,C,0.196025455002639,0.197547052136196,0.165919957608404,40.6432315840586,908.430963833661,572.438573148475
DEREK_STEPAN,C,0.19044124344112,0.144275777239857,0.139256643275359,50.6946888454008,853.354243829404,602.703873067047
NINO_NIEDERREITER,R,-0.0584212625136298,0.186328791252976,0.209951817265299,-3.21225585935729,252.397847273443,210.857454639194
DANA_TYRELL,C,0,0.0776985913939413,0.116548001864529,0,98.0839808975801,109.431278715867
ANDERS_LINDBACK,G,-0.0114314785979014,0,-0.00431338206119857,-2.41201571762397,0,-13.1752050785893
BRANDON_PIRRI,C,0,0.0273639774234467,0,0,9.79569268439792,0
KYLE_CLIFFORD,L,0,0.0658255786081289,0.0810501128573997,0,167.037920948089,152.979402284232
JAKE_MUZZIN,D,0,0.162725174981157,0.0344604846053496,0,418.095153864984,65.7613272297697
JORDAN_CARON,R,0,0,0,0,0,0
RYAN_REAVES,R,0,0,0.0601069905041424,0,0,47.3500536542617
MARK_DEKANICH,G,0,0,0,0,0,0
JACOB_JOSEFSON,C,0,0,0.0228984252157457,0,0,17.9057861353924
ROBIN_LEHNER,G,-0.0250988769498988,-0.0145445251171618,-0.00567499646394945,-2.52230472360485,-33.1972933601491,-9.84041745880269
JONAS_HOLOS,D,0,-0.0528572711829573,-0.100472193494436,0,-31.8655158036395,-48.2865122362086
BRIAN_FAHEY,D,0,0,0,0,0,0
MIKE_MOORE,D,0,0,0,0,0,0
NICK_HOLDEN,D,0.0199679245091535,-0.0726225259767642,-0.0605920589272574,1.07823209785274,-73.2802359494747,-45.7633001036719
OLIVIER_MAGNAN,D,0,0,0,0,0,0
ALEXANDER_VASYUNOV,L,0,0.0339478397228643,0,0,4.92196407338183,0
EVAN_BROPHEY,C,0,0,0,0,0,0
LUKE_ADAM,C,0,0.0907081418479341,0.000624633259957102,0,81.5813979116901,0.427873769158886
EVGENY_GRACHEV,C,0,0,-0.0187771766583986,0,0,-3.31407430710034
BEN_SMITH,R,0,0,0.0721294453538561,0,0,54.2899367327368
LINUS_KLASEN,L,0,0,0,0,0,0
BRAD_MILLS,C,0,0,0,0,0,0
JON_MATSUMOTO,C,0,0,0,0,0,0
ERIC_WELLWOOD,L,0,0,0,0,0,0
KYLE_PALMIERI,C,0.0155775445391921,0.0737854013740214,0.0519255575270639,0.934633772583631,92.48493759647,48.9288447083202
KEVIN_SHATTENKIRK,D,0.0620637477796,0.0414584364199172,0.0267792239068497,15.8211775320671,215.055565868398,103.857013442634
JEFF_FRAZEE,G,0,0,0,0,0,0
STEPHEN_GIONTA,R,0,0,0.0184279502050441,0,0,15.3224069874307
MATT_KASSIAN,L,0,0,0,0,0,0
IAN_COLE,D,0.178862618098598,-0.0652987590890213,-0.0260296181925489,9.72210748997484,-95.4328782880622,-27.8891612401938
NIKITA_NIKITIN,D,0.0445924759581738,-0.0477876735267726,-0.0165474806035602,7.17819918789411,-148.448052294734,-38.3065435125788
KORBINIAN_HOLZER,D,0,-0.240053488140607,-0.219945543580829,0,-104.044138794606,-69.0048883102265
JEREMY_MORIN,L,0,0.0386304929582079,0,0,9.81092515917592,0
COLBY_COHEN,D,0,0,0,0,0,0
MATTIAS_TEDENBY,L,0,0,-0.0815077945381188,0,0,-63.6630997407773
NICK_DRAZENOVIC,C,0,0,0,0,0,0
JOHAN_HARJU,L,0,0,0,0,0,0
MARCO_SCANDELLA,D,-0.0624001707563427,-0.0982254349210703,-0.132711284617554,-7.45440174482462,-262.002177483321,-260.461864697608
KEITH_AULIE,D,0,-0.302952045552701,-0.270373537022569,0,-557.716952759826,-370.321545299277
DWIGHT_KING,L,0.0424231841744235,0.200696485919917,0.254424901819729,4.62343368611186,510.96522282301,486.004178245188
BRANDON_MCMILLAN,C,0,-0.172475414431113,-0.106128823671812,0,-229.943647934959,-104.385867610596
MARK_FAYNE,D,0,0,-0.0134670304908976,0,0,-35.7207585162973
TRAVIS_HAMONIC,D,0.0712090567810449,0,0.0200452147180203,17.6523875047843,0,70.867483709077
JUSTIN_BRAUN,D,0,0.0364763393454132,0.0237103014453362,0,129.531357462597,62.6515364851186
