player,season,beta,prob,ppm,pm,fp,beta.po,prob.po,ppm.po,pm.po,fp.po
RYAN_KESLER,20102011,0.23,0.56,205.13,267,0.57,0.23,0.56,65.32,37,0.53
GABRIEL_LANDESKOG,20112012,0.26,0.5,203.84,262,0.58,0,0.5,0,0,0
DANIEL_WINNIK,20102011,0.32,0.5,202.42,-87,0.47,0,0.5,0,0,0
ALEX_OVECHKIN,20102011,0.22,0.56,202.19,454,0.63,0.22,0.56,23.37,51,0.62
DANIEL_ALFREDSSON,20052006,0.24,0.56,202.13,385,0.62,0.24,0.56,24.74,42,0.6
ERIK_CONDRA,20112012,0.35,0.59,201.9,-105,0.45,0.35,0.59,12.81,-5,0.47
PATRIC_HORNQVIST,20132014,0.42,0.5,200.88,207,0.61,0,0.5,0,0,0
PAVEL_DATSYUK,20082009,0.25,0.61,199.89,420,0.63,0.45,0.61,73.29,122,0.68
LOUI_ERIKSSON,20082009,0.26,0.5,199.87,143,0.55,0,0.5,0,0,0
DANIEL_ALFREDSSON,20062007,0.24,0.56,199.1,312,0.6,0.23,0.56,46.69,66,0.58
PAVEL_DATSYUK,20092010,0.25,0.56,198.55,371,0.61,0.25,0.56,34.17,40,0.57
DANIEL_SEDIN,20032004,0.42,0.6,198.01,297,0.65,0.42,0.6,18.43,38,0.71
HENRIK_ZETTERBERG,20092010,0.24,0.59,196.91,307,0.59,0.35,0.59,47.62,60,0.61
STEPHEN_WEISS,20082009,0.27,0.5,196.81,171,0.56,0,0.5,0,0,0
DANIEL_SEDIN,20112012,0.28,0.56,196.59,362,0.63,0.22,0.56,5.77,2,0.52
RICK_DIPIETRO,20072008,0.11,0.5,195.55,19,0.5,0,0.5,0,0,0
DAVID_BACKES,20082009,0.29,0.57,195.19,113,0.54,0.29,0.57,12.77,26,0.65
SEAN_AVERY,20062007,0.28,0.57,195.02,234,0.58,0.28,0.57,29.1,19,0.55
ALEX_FROLOV,20032004,0.38,0.5,194.88,116,0.56,0,0.5,0,0,0
BRIAN_GIONTA,20072008,0.27,0.57,194.53,326,0.61,0.27,0.57,11.19,12,0.57
ALEX_STEEN,20102011,0.3,0.5,194.39,264,0.6,0,0.5,0,0,0
ALEX_OVECHKIN,20062007,0.22,0.5,193.47,262,0.58,0,0.5,0,0,0
MASON_RAYMOND,20092010,0.26,0.55,193.28,197,0.57,0.18,0.55,18.34,-44,0.39
PATRICK_MARLEAU,20112012,0.21,0.55,192.23,330,0.59,0.21,0.55,9.19,13,0.57
