Player,Last Active Year,Player-Team Model,Player-Only Model
PETER_FORSBERG,20102011,0.905315038097618,0.926339903183236
BRAD_MARCHAND,20122013,0.512929622148797,0.500591913743413
SIDNEY_CROSBY,20122013,0.459478761970128,0.394086835279929
ERIC_FEHR,20122013,0.435501569282627,0.361492549714234
PATRICK_ROY,20022003,0.415463974488238,0.501622583915595
MARTIN_GELINAS,20072008,0.409936736898064,0.417568913607168
MARIAN_HOSSA,20122013,0.394371857955152,0.401490792383681
JONATHAN_TOEWS,20122013,0.37588949036262,0.377805646352475
ALEXANDER_SEMIN,20122013,0.358006075556068,0.304636270970041
PAVEL_DATSYUK,20122013,0.347989090033545,0.351290885158253
ALEX_OVECHKIN,20122013,0.347967476353105,0.284476698256727
JOE_THORNTON,20122013,0.345005379254125,0.355261583584702
MARIAN_GABORIK,20122013,0.331877123503987,0.296420892145884
DAVID_PERRON,20122013,0.310733959854878,0.322678643631747
RYAN_GETZLAF,20122013,0.308303883898495,0.318068117623947
NATHAN_HORTON,20122013,0.301376905471182,0.319192106461141
TYLER_KENNEDY,20122013,0.291988319286877,0.213476440770045
DANIEL_SEDIN,20122013,0.282201393754781,0.258597175310785
VINCENT_LECAVALIER,20122013,0.278373910604776,0.316647797970062
RADIM_VRBATA,20122013,0.273243376854608,0.246945276240657
DANIEL_ALFREDSSON,20122013,0.269027194115874,0.337687806476679
ZACH_PARISE,20122013,0.268997870983508,0.284375807840533
MIKKO_KOIVU,20122013,0.248560723153432,0.180079405389495
MARTIN_HAVLAT,20122013,0.248375286691823,0.254029818088031
EVGENI_MALKIN,20122013,0.248215418926602,0.157587911747029
P.K._SUBBAN,20122013,0.244611714613169,0.196691981188387
LADISLAV_NAGY,20072008,0.235525412893721,0.211162835090814
JASON_ARNOTT,20112012,0.232996476659823,0.262250400277768
CHRIS_KUNITZ,20122013,0.230329151149068,0.224555422567881
PIERRE-MARC_BOUCHARD,20122013,0.228965195556873,0.1710198388719
ANDREI_MARKOV,20122013,0.227855475810789,0.192082010985615
BENOIT_POULIOT,20122013,0.227490902005448,0.190476369177439
HENRIK_SEDIN,20122013,0.225870583509266,0.193952129781672
TEEMU_SELANNE,20122013,0.223773672120018,0.244453022022902
ROBERT_LANG,20092010,0.223618521979118,0.196730994998441
JUSTIN_WILLIAMS,20122013,0.222230253759613,0.219530919881997
JAMES_REIMER,20122013,0.220833487603996,0.15743389389151
DAN_BOYLE,20122013,0.219043781282957,0.234893281085614
NICKLAS_LIDSTROM,20112012,0.216260639576356,0.2220483186423
NICKLAS_BACKSTROM,20122013,0.213113693399693,0.178149077536558
LUBOMIR_VISNOVSKY,20122013,0.207180801884614,0.213514733956734
MAREK_MALIK,20082009,0.205704279254925,0.20737278904307
DAYMOND_LANGKOW,20112012,0.204767304511069,0.196107501205225
CHRIS_PRONGER,20112012,0.204141950461739,0.218165121284689
JOHAN_FRANZEN,20122013,0.203504913336272,0.21507199432677
ZDENO_CHARA,20122013,0.199770920586936,0.2032471047924
PATRIK_ELIAS,20122013,0.198778190336605,0.256289387486109
JAROMIR_JAGR,20122013,0.19695655607006,0.202219859627176
ALEX_BURROWS,20122013,0.19490231568724,0.183289211033178
RICK_NASH,20122013,0.194702632462737,0.157129529944958
BRENDAN_MORRISON,20112012,0.185858412884013,0.141446406064375
DOMINIK_HASEK,20072008,0.182198464245997,0.207969584784751
ALEXEI_PONIKAROVSKY,20122013,0.181936107662743,0.154158368657499
KEITH_YANDLE,20122013,0.17922548182478,0.15308809789181
FREDRIK_MODIN,20102011,0.179152975878079,0.171502293412171
JANNIK_HANSEN,20122013,0.178785767943537,0.125755695565142
KYLE_WELLWOOD,20122013,0.178388907275363,0.142889910039059
ERIK_COLE,20122013,0.177548019617575,0.15129584781546
PATRIC_HORNQVIST,20122013,0.177098427798909,0.217544710034486
CODY_FRANSON,20122013,0.17699229533375,0.179935960369963
LOUI_ERIKSSON,20122013,0.174912151700435,0.184765476268955
CHRIS_SIMON,20072008,0.172599704063131,0.181742333746987
MIIKKA_KIPRUSOFF,20122013,0.172591705112599,0.123645274477725
MIKE_MOTTAU,20112012,0.170157775697941,0.196704134295534
ALEX_TANGUAY,20122013,0.165957442472541,0.165834130303358
MICHAEL_RYDER,20122013,0.159889635158173,0.142913787287637
MILAN_HEJDUK,20122013,0.158177121684277,0.175273281242223
PATRICK_SHARP,20122013,0.15772583938799,0.161363168495922
BRYAN_BICKELL,20122013,0.156220034019274,0.155514996238467
KIMMO_TIMONEN,20122013,0.156069735294611,0.199933605402854
NAZEM_KADRI,20122013,0.153098000717293,0
ANZE_KOPITAR,20122013,0.148868638551566,0.15082619239051
STEVE_DOWNIE,20122013,0.146159087030467,0.169216892636767
MIKHAIL_GRABOVSKI,20122013,0.145522194013802,0.0550799763138957
THOMAS_VANEK,20122013,0.1455050293829,0.146712365681585
MILAN_LUCIC,20122013,0.145240320092106,0.132368944365971
HENRIK_ZETTERBERG,20122013,0.145117399531549,0.149996488695902
DAVID_KREJCI,20122013,0.144444258750271,0.120945650372733
ED_BELFOUR,20062007,0.142635713645033,0.086501606063992
SHANE_DOAN,20122013,0.139117725514278,0.100316258313191
JAROME_IGINLA,20122013,0.137238685441437,0.10721945178891
MARK_STREIT,20122013,0.136943735907602,0.117943303890656
JOZEF_STUMPEL,20072008,0.132499264088303,0.168732997128335
JOCHEN_HECHT,20122013,0.132419466532545,0.135398538798315
JOE_PAVELSKI,20122013,0.130333323899259,0.148678867887435
MATT_CULLEN,20122013,0.1298919241546,0.100789731756362
