NAME|X0203US|X0304US|X0506US|X0607US|X0708US|X0809US|X0910US|X1011US|X1112US|TOTAL
Marty Turco|0.85|3.648166|3.161795|6|5.7|5.7|5.4|1.3|0.6|32.359961
Lubomir Visnovsky|0.75|0.85|1.52|1.9|2.052|7|7|6|5|32.072
Tomas Kaberle|1.75|2.75|2.28|4.25|4.25|4.25|4.25|4.25|4|32.03
Evgeni Nabokov|3.525|3.625|3.363|5|5|5.5|6|0|0|32.013
Peter Forsberg|9.5|11|5.75|5.75|0|0|0|0|0|32
Pavol Demitra|3.975|6.5|4.5|4.5|4.5|4|4|0|0|31.975
Milan Hejduk|2.7|3.2|3.7|3.8|4|4|4|3|2.6|31
Alexei Yashin|7.4|8.4|7.6|7.6|0|0|0|0|0|31
Tomas Vokoun|0.9|1.2|2.28|2.28|5.3|5.5|5.7|6.3|1.5|30.96
Rick DiPietro|0|1.1825|2.5|4.5|4.5|4.5|4.5|4.5|4.5|30.6825
Patrice Bergeron|0|0|0.646|3|5|5|5|5.75|5.9|30.296
Daymond Langkow|2.25|2.7|2.442|2.442|2.442|5|4.25|4.25|4.5|30.276
Evgeni Malkin|0|0|0|0.9842|0.9842|0.9842|9|9|9|29.9526
Bryan Mccabe|2.85|3.5|3.458|7.15|7.15|0|5.75|0|0|29.858
Olaf Kolzig|6|6.25|4.94|5.45|5.45|1.5|0|0|0|29.59
Teemu Selanne|6.5|5.8|1|3.75|0|3.25|2|3.25|4|29.55
Dion Phaneuf|0|0|0.9424|0.4712|0.9424|7|6.5|7|6.5|29.356
Adam Foote|4.2|4.3|4.6|4.6|4.6|2.75|3.25|1|0|29.3
Alex Tanguay|0.9|1.5|3.23|5|5.375|5.375|2.5|1.7|3.5|29.08
Brian Gionta|0.72|0.65|0.627|4|4|4|5|5|5|28.997
Derek Morris|2.5|3.5|2.66|3.9|3.9|3.95|3.3|2.5|2.75|28.96
Eric Brewer|1.5|2.5|2|2.014|3.5|4.5|4.5|4.5|3.75|28.764
Adrian Aucoin|3.1|3.25|4|4|4|4|2.25|1.8|2.2|28.6
Rod Brind'Amour|4.75|5|3.8|4|4|4|3|0|0|28.55
Sergei Zubov|5|6|4|4|4|5.35|0|0|0|28.35
Todd Bertuzzi|2.75|3.7|5.269333|5.26908|4|1.95|1.5|2.25|1.625|28.313413
Steve Sullivan|3|3|3.2|3.2|3.2|3.2|3.75|3.75|1.5|27.8
Ales Hemsky|1.13|1.13|0.90174|3.5|3.6|3.6|4.4|4.5|5|27.76174
Mike Ribeiro|0.77|0.847|1.178|1.9|2.8|5|5|5|5|27.495
Ryan Miller|0|0|0.5016|2|2.5|3.5|6.25|6.25|6.25|27.2516
Jaroslav Spacek|1.6|1.9|2.25|3.225|3.475|3.3|3.833333|3.833333|3.833333|27.249999
David Legwand|1.0725|1.575|1.349|1.65|2.1|5.5|5|4.5|4.5|27.2465
Scott Hartnell|1.075|1.1825|1|1.75|5.2|4.7|4.2|4.2|3.7|27.0075
Ryan Malone|0|0|0.75|1.3|1.45|6|6|6|5.5|27
Sheldon Souray|1.1|1.6|2.128|2.432|6.25|6.25|5.5|0|1.65|26.91
Mike Richards|0|0|0.9424|0.9424|0.9424|5.4|5.6|6.4|6.6|26.8272
Tom Poti|1.8|2.8|2.356|2.75|3.5|3.5|3.5|3.5|3|26.706
Michal Rozsival|0.8|1|0.703|1.9|2.3|7|6|4|3|26.703
Mathieu Schneider|3.5|3.75|3.3|3.3|5.5|5.75|1.55|0|0|26.65
Robert Lang|5|5|3.8|3.8|4|4|1|0|0|26.6
Mike Cammalleri|0|1.075|0.85785|1.7|3.1|3.6|5|5|6|26.33285
Erik Cole|0.5|0.495|1.14|4|4|4|2.8|3|6|25.935
Michal Handzus|1.433333|1.533333|2.128|2.128|4|4|4|4|2.5|25.722666
Ilya Bryzgalov|0|0|0.465|1|1.3625|4|4.25|4.5|10|25.5775
Michael Nylander|1.8|2.675|2.28|2.28|5.5|5.5|5.5|0|0|25.535
Tim Connolly|0|1.24025|1.0369|2.2|3|3.5|4.5|4.5|5.5|25.47715
Alexander Semin|0|0|0.9006|1.4|1.2|4.2|5|6|6.7|25.4006
Scott Hannan|0.77|1.25|2.033|2.204|4.5|4.5|4.5|4.5|1|25.257
Ray Whitney|2.6|3|1.5|1.5|3.55|3.55|3.55|3|3|25.25
Brenden Morrow|1|1.4|1.9|2.2|2.2|4.1|4.1|4.1|4.1|25.1
Paul Martin|0|0|0.502|2|3|4|4.5|5.5|5.5|25.002
Niklas Backstrom|0|0|0|0.75|3.1|3.1|6|6|6|24.95
Kristian Huselius|0.925|0.9|1.216|1.4|1.4|4.75|4.75|4.75|4.75|24.841
Martin Erat|0.55|0|0.875|1.6|1.75|3.5|5.25|5.25|6|24.775
Justin Williams|0.975|1.0725|1.225|3.5|3.5|3.5|3.5|3.5|3.9|24.6725
