NAME|X0203US|X0304US|X0506US|X0607US|X0708US|X0809US|X0910US|X1011US|X1112US|TOTAL
Jason Smith|2.3|2.3|1.876|1.976|1.976|2.6|0|0|0|13.028
Radim Vrbata|0.41|0.5375|0.475|1.225|1.225|0|3|3|3|12.8725
Rhett Warrener|1.65|1.8|1.9|2.5|2.5|2.5|0|0|0|12.85
Joe Pavelski|0|0|0|0.75|0.81|1.55|1.725|4|4|12.835
David Backes|0|0|0|0|0.8025|2.5|2.5|2.5|4.5|12.8025
Rene Bourque|0|0|0.45|0.75|0.9|1.3|1.4|4|4|12.8
Alexei Ponikarovsky|0|0.5225|0.45|0.725|1.575|2.24|2.5|3.2|1.5|12.7125
Mikael Samuelsson|0.5|0.55|0.5375|1.2|1.2|1.2|2.5|2.5|2.5|12.6875
Chuck Kobasew|1.13|0|0.90174|1.2|1.2|2|2.5|2.5|1.25|12.68174
Robert Scuderi|0|0|0.5|0.55|0.7|0.725|3.4|3.4|3.4|12.675
Rostislav Klesla|0.5375|1.075|0.943635|1.05|1.45|1.65|0|2.975|2.975|12.656135
Chris Mason|0|0|0.45|1.25|1.25|3|3|1.6|2.1|12.65
Samuel Pahlsson|0|0.55|0.625|0.65|1.4|1.4|2.65|2.65|2.65|12.575
Mike Commodore|0|0.515|0.45|1.2|1.3|4.3|3.8|0|1|12.565
Dennis Seidenberg|0.7|0|0.45|0.75|0.85|1.2|2.25|3|3.25|12.45
Jonas Hiller|0|0|0|0|0.85|1.3|1.3|4.5|4.5|12.45
Mike Grier|1.483625|1.632|1.3644|1.775|1.775|1.775|1.2|1.4|0|12.405025
Colby Armstrong|0|0|0.77805|0.816953|1.2|1.2|2.4|3|3|12.395003
Sean Avery|0.4|0.44|0.532|1.1|1.9|0|4|4|0|12.372
Steve Rucchin|2.875|2.975|2.261|1.85|2.4|0|0|0|0|12.361
Lee Stempniak|0|0|0.585|0.45|1.5|2.5|3.5|1.5|2.3|12.335
Raffi Torres|1.075|0|0.825|0.925|1.6|2.4|2.75|1|1.75|12.325
Dominik Hasek|0|8|1.52|0.75|2.05|0|0|0|0|12.32
Johnny Oduya|0|0|0|0.505|0.6|0.6|3|3.5|4|12.205
Greg De Vries|1.375|4.2|2.28|2.052|2.25|0|0|0|0|12.157
David Krejci|0|0|0|0|0|0.825|3.5|3.75|4|12.075
Matt Cooke|0.45|0.525|1.5|1.5|1.525|1.2|1.2|2.15|2|12.05
Viktor Kozlov|2.1|2.3|1.746|0.865|2.5|2.5|0|0|0|12.011
Vesa Toskala|0|0.575|0.684|1.375|1.375|4|4|0|0|12.009
Tobias Enstrom|0|0|0|0|0.75|0.75|3|3.5|4|12
Trevor Daley|0|0|0|0.775|0.8|2.1|2.3|2.5|3.5|11.975
Chris Clark|0.53|0.7|0.6897|1.002|1.1|2.75|2.65|2.5|0|11.9217
Manny Malhotra|0.95|1.05|0.57|0.9|1.2|1.5|0.7|2.5|2.5|11.87
Todd White|0.75|1.15|1.5|1.55|2.1|2.35|2.45|0|0|11.85
Loui Eriksson|0|0|0|0.65|0.65|1.5|1.7|3.2|4.1|11.8
Scottie Upshall|1.185|0|0|0.9006|1.2|1.25|1.5|2.25|3.5|11.7856
Ales Kotalik|0|0.9|0.8379|2|2.5|2.5|3|0|0|11.7379
Niclas Wallin|0.6|0.75|0.836|1.725|1.725|1.725|1.725|2.65|0|11.736
Fernando Pisani|0|0.6|0.6118|2.5|2.5|2.5|2.5|0.5|0|11.7118
Mark Parrish|2.05|2.35|1.9|2.25|2.65|0.5|0|0|0|11.7
Matt Greene|0|0|0|0.855|1.05|1.25|2.75|2.75|3|11.655
Aaron Miller|1.7|3.5|2.66|2.28|1.5|0|0|0|0|11.64
Petr Nedved|4.55|4.75|2.204|0|0|0|0|0|0|11.504
Marek Malik|1.1|1.65|2.5|2.5|2.5|1.25|0|0|0|11.5
Joe Nieuwendyk|5|2|2.25|2.25|0|0|0|0|0|11.5
Niclas Havelid|0.83|1.35|1.216|2.5|2.7|2.9|0|0|0|11.496
Eric Belanger|0.65|0.7438|0.7581|1.3|1.75|1.75|1.75|0.75|2|11.4519
Andrew Ladd|0|0|0|0.9842|0.9842|1.45|1.65|2.35|4|11.4184
Kyle Calder|0.8|0.9|1.311|2.95|2.7|2.7|0|0|0|11.361
Alexander Steen|0|0|0|0.77018|0.87018|1.7|1.7|2.75|3.566667|11.357027
Braydon Coburn|0|0|0.9424|0.4712|0.9424|1.2|1.4|3|3.4|11.356
Steve Ott|0|0.923949|0.583|0.775|0.8|1.35|1.5|2.1|3.3|11.331949
Kurt Sauer|1.102|1.102|0.7182|0.685|0.71925|1.75|1.75|1.75|1.75|11.32645
Jim Vandermeer|0|0.4|0.57|1.225|1.225|2.3|2.3|2.3|1|11.32
Keith Carney|2.45|2.6|2.052|2.1|2.1|0|0|0|0|11.302
Steve Reinprecht|0.5|1.5|1.444|2|2|2|1.8|0|0|11.244
Mike Sillinger|1.8|1.8|1.026|2.1|2.2|2.3|0|0|0|11.226
Jozef Stumpel|2.85|2.85|1.5|1.75|2.25|0|0|0|0|11.2
Andrew Ference|0.44|0.5|0.75|0.75|1.235|1.34|1.625|2.25|2.25|11.14
Jay Mckee|1.533333|0|1.6|4|4|0|0|0|0|11.133333
Paul Gaustad|0|0|0.5016|0.675|0.75|1.7|2.5|2.5|2.5|11.1266
Patrick Lalime|1.85|2.575|2.432|0.7|0.95|1|1|0.6|0|11.107
Martin Rucinsky|1.7|1.65|3|1.75|3|0|0|0|0|11.1
Brian Pothier|0|0.525|0.532|2.5|2.5|2.5|2.5|0|0|11.057
Dave Bolland|0|0|0|0|0|0.8875|3.375|3.375|3.375|11.0125
Marc-Edouard Vlasic|0|0|0|0.735|0.735|0.735|2.4|2.8|3.5|10.905
Tommy Salo|3.5|3.9|0|3.466|0|0|0|0|0|10.866
Alexander Edler|0|0|0|0|0.55|0.55|3.25|3.25|3.25|10.85
Bryan Smolinski|2.4|2.65|2.241|1.52|2|0|0|0|0|10.811
Janne Niinimaa|2.9|2.9|2.432|2.508|0|0|0|0|0|10.74
Jussi Jokinen|0|0|0|0.7|1.75|1.875|1.5|1.9|3|10.725
Chris Higgins|0|0|0.9006|0.67298|1.5|1.9|2.25|1.6|1.9|10.72358
Jason Chimera|0.4|0.5|0.494|0.75|1|1.875|1.875|1.875|1.875|10.644
Steven Stamkos|0|0|0|0|0|0.875|0.875|0.875|8|10.625
Geoff Sanderson|2.1|3|2.508|1.5|1.5|0|0|0|0|10.608
Steve Montador|0|0.35|0.45|0.5|0.8|0.8|1.55|1.55|4.6|10.6
Richard Zednik|1.7|1.85|1.824|1.976|1.5|1.75|0|0|0|10.6
Brett Hull|5.5|5|0|0|0|0|0|0|0|10.5
William Mitchell|0|0|0|0|3.5|3.5|3.5|0|0|10.5
Chris Kelly|0|0|0|0.725|1.2625|2.5|2|2|2|10.4875
Nikolai Zherdev|0|0|0.942|1.75|2.5|3.25|0|2|0|10.442
Bobby Ryan|0|0|0|0|0|0.85|0.765|3.25|5.5625|10.4275
Ron Francis|5.936287|4.453738|0|0|0|0|0|0|0|10.390025
Ladislav Nagy|0.75|1|1.876|3|3.75|0|0|0|0|10.376
Frantisek Kaberle|0.95|1.5|1.292|2.2|2.2|2.2|0|0|0|10.342
Donald Brashear|1.5|2.25|1.748|1|1.1|1.2|1.5|0|0|10.298
Sami Kapanen|3|3|1.52|1.52|1.25|0|0|0|0|10.29
Mathieu Garon|0.9075|1|1.216|1.216|1.2|1|1.2|1.2|1.35|10.2895
Eric Desjardins|4|4|2.28|0|0|0|0|0|0|10.28
Peter Bondra|4.75|4.5|0.505|0.5|0|0|0|0|0|10.255
Mikhail Grabovski|0|0|0|0|0.7|0.85|2.75|2.85|3.1|10.25
Jan Hejda|0|0|0|0|1|2|2|2|3.25|10.25
Cam Barker|0|0|0.9842|0|0|0.9842|3|3|2.25|10.2184
Francis Bouillon|0|0.5|0.6|1.875|1.875|1.875|0.75|1.2|1.5|10.175
Dan Girardi|0|0|0|0|0.55|1.5|1.6|3.1|3.4|10.15
Carlo Colaiacovo|1.13|0|0|0.90174|1.05|1.4|1.4|1.75|2.5|10.13174
Rostislav Olesz|0|0|0.9842|0.9842|0.9842|1.7|2.3|3.1|0|10.0526
Jeff O'Neill|3.3|3.7|1.5|1.5|0|0|0|0|0|10
Antti Miettinen|0|0|0.45|0.45|0.885|2|2.5|2.5|1.202585|9.987585
Chris Neil|0.45|0.575|0.5852|1|1.1|1.2|1|2|2|9.9102
Jeff Friesen|3|3|2.28|1.6|0|0|0|0|0|9.88
Milan Lucic|0|0|0|0|0.585|0.585|0.6855|4|4|9.8555
Radek Martinek|0.5|0.6|0.575|0.7|0.7|1.2|1.4|1.9|2.2|9.775
Martin Skoula|1.1|1.35|1.525|1.625|1.7|1.9|0.575|0|0|9.775
Ryan Callahan|0|0|0|0|0.575|0.6|2.2|2.4|4|9.775
Marc Denis|0.95|1.55|1.672|2.8|2.8|0|0|0|0|9.772
Drew Stafford|0|0|0|0|0.9842|0.9842|1.5|2.3|4|9.7684
Jocelyn Thibault|2.9|3.1|1.5|1.5|0.76|0|0|0|0|9.76
Vincent Damphousse|5.75|4|0|0|0|0|0|0|0|9.75
Kris Versteeg|0|0|0|0|0|0.49|3.083|3.083|3.083|9.739
Ian Laperriere|0.9|0.9|1.14|1.064|1.064|1.15|1.3|1.2|1|9.718
Jay Pandolfo|0.75|0.8|0.836|0.836|0.836|2.5|2.5|0|0.6|9.658
Johan Hedberg|1.4|1.2|0.6|0.85|1.15|1|1.175|1|1.25|9.625
Shaone Morrisonn|0|1.13|0.6688|0.9|0.9|1.975|1.975|2.075|0|9.6238
Mark Bell|0.975|1.0725|1.06|2|2|2.5|0|0|0|9.6075
Taylor Pyatt|1.025|1.1275|0.98972|0.7|1.575|1.575|0.6|0.8|1.2|9.59222
Trent Hunter|0|0|1|1|1.55|2|2|2|0|9.55
Kyle Mclaren|0|2.5|1.9|2.5|2.5|0|0|0|0|9.4
Sean Burke|3.25|4.5|1.6|0|0|0|0|0|0|9.35
Chris Gratton|2|2.2|0.9|1.5|1.5|1.25|0|0|0|9.35
Tom Preissing|0|0|0.5|0.6|2.75|2.75|2.75|0|0|9.35
Pascal Dupuis|0.35|0.733|0.76|0.798|0.88|1.4|1.4|1.4|1.5|9.221
Trevor Linden|4.5|2|1.52|0.6|0.6|0|0|0|0|9.22
Dimitri Kalinin|0.85|0.935|1.33|1.75|2.25|2.1|0|0|0|9.215
Marc Staal|0|0|0|0|0.85|0.765|0.765|3.1|3.675|9.155
Doug Murray|0|0|0|0.5|0.55|0.6|2.5|2.5|2.5|9.15
Kevin Weekes|1.5075|2.35|1.9|2|0.675|0.7|0|0|0|9.1325
Eric Lindros|2.7|3.3|1.55|1.55|0|0|0|0|0|9.1
Mike York|1.2|2|2.05|2.85|1|0|0|0|0|9.1
Ian White|0|0|0|0.513|0.75|0.85|0.95|2.999995|3|9.062995
Tomas Fleischmann|0|0|0|0|0.495|0.725|0.725|2.6|4.5|9.045
Kristopher Letang|0|0|0|0|0.56|0.685|0.625|3.5|3.5|8.87
Marty Reasoner|0.85|0.85|0.65|0.95|0.95|1|1.1|1.2|1.3|8.85
Glen Wesley|2.5|2.75|1|1.2|1.4|0|0|0|0|8.85
Per Johan Axelsson|0.9075|1.3|1.064|1.85|1.85|1.85|0|0|0|8.8215
Mike Smith|0|0|0|0.495|0.95|0.95|2|2.4|2|8.795
Brian Boucher|2|2|0.9|0.475|0|0.65|0.925|0.925|0.9|8.775
Georges Laraque|1|1.275|1.083|1.1|1.3|1.5|1.5|0|0|8.758
Jassen Cullimore|1.45|1.65|1.881|1.9|0.535|0.83|0|0.5|0|8.746
Brandon Dubinsky|0|0|0|0|0.645|0.635|1.7|2|3.75|8.73
Steve Bernier|0|0|0|0.85|0.85|2.5|2|2|0.525|8.725
Kirk Maltby|1.25|2|1.444|1.368|0.95|0.95|0.75|0|0|8.712
Anson Carter|2.4|2.8|1|2.5|0|0|0|0|0|8.7
Daniel Cloutier|1.125|2.5|2.5|2.55|0|0|0|0|0|8.675
Drew Doughty|0|0|0|0|0|0.875|0.875|0.875|6|8.625
Oleg Tverdovsky|3.6|0|2.5|2.5|0|0|0|0|0|8.6
Luke Richardson|2.75|2.75|2.09|0.5|0.5|0|0|0|0|8.59
Bryan Berard|0.85|2.51|2|2.5|0.725|0|0|0|0|8.585
Jamal Mayers|0.8|0.8|0.9|0.9|1.2|1.4|1.4|0.6|0.55|8.55
Mike Ricci|2.5|3|1.52|1.52|0|0|0|0|0|8.54
Andy Mcdonald|0.575|0.65|0.627|3.333333|3.333333|0|0|0|0|8.518666
Theoren Fleury|4|4.5|0|0|0|0|0|0|0|8.5
Patrick Roy|8.5|0|0|0|0|0|0|0|0|8.5
Eric Daze|3|3.2|2.28|0|0|0|0|0|0|8.48
Ville Leino|0|0|0|0|0|0.875|0.775|0.825|6|8.475
Daniel Mcgillis|3|3.2|2.2|0|0|0|0|0|0|8.4
Steve Eminger|1.185|0|0.96|0.992912|1|1.2|0.75|1.5|0.8|8.387912
Guillaume Latendresse|0|0|0|0.85|0.85|0.85|0.80325|2.4|2.6|8.35325
Mathieu Dandenault|0|1.45|1.7|1.7|1.75|1.75|0|0|0|8.35
Yanic Perreault|2.8|2.8|0.525|0.7|1.5|0|0|0|0|8.325
Jiri Hudler|0|0|0|0.525|0.88|1.15|0|2.75|3|8.305
Jason Williams|0.425|0|0.45|1.6|1.6|2.2|1.5|0.5|0|8.275
Stephane Yelle|1.2|1.6|1.368|1.55|1.25|0.75|0.55|0|0|8.268
Roman Turek|4|4.25|0|0|0|0|0|0|0|8.25
Mike Johnson|1.55|2.3|1.672|1.9|0.755|0|0|0|0|8.177
Wayne Primeau|0.825|0.9|1.1|1.15|1.4|1.4|1.4|0|0|8.175
Ken Klee|1.55|1.5|1.9|0.7|1.25|1.25|0|0|0|8.15
Pekka Rinne|0|0|0|0|0|0.575|0.725|2.8|4|8.1
Jack Johnson|0|0|0|0|0.85|0.85|1.2|1.65|3.5|8.05
Carey Price|0|0|0|0|0.85|0.85|0.85|2.5|3|8.05
Mike Richter|4|4|0|0|0|0|0|0|0|8
Denis Gauthier|1.1|1.3|1.33|2|0|2.2|0|0|0|7.93
Craig Anderson|0|0|0.45|0|0.525|0.575|1.5|2.125|2.75|7.925
Patrick O'Sullivan|0|0|0.8|0|0.65|4|2.3875|0|0|7.8375
Christian Backman|0|0|0.912|1.3|2.2|3.4|0|0|0|7.812
Mark Messier|3.904858|3.904585|0|0|0|0|0|0|0|7.809443
Jarkko Ruutu|0.425|0.575|0.6|1.15|1.15|1.3|1.3|1.3|0|7.8
Jaroslav Halak|0|0|0|0|0|0.75|0.8|2.75|3.5|7.8
Keith Yandle|0|0|0|0|0|0.635|1.1|1.3|4.75|7.785
Erik Johnson|0|0|0|0|0.85|0.85|0.85|2.2|3|7.75
Mark Giordano|0|0|0|0.45|0|0.6|1|1.075|4.6|7.725
Greg Zanon|0|0|0|0.45|0.7|0.75|1.7|2|2.1|7.7
Scott Young|3.462278|3.462278|0.75|0|0|0|0|0|0|7.674556
Niklas Hjalmarsson|0|0|0|0|0|0|0.666|3.5|3.5|7.666
Andreas Lilja|0.5|0.6|0.65|1|1|1.25|1.25|0.6|0.775|7.625
Marek Svatos|0|0|0.45|1.05|1.2|1.75|2.35|0.8|0|7.6
Jon Klemm|2.5|2.5|1.118909|0.95|0.5|0|0|0|0|7.568909
Andrej Sekera|0|0|0|0|0.658|0.659|0.75|1.25|4.25|7.567
Scott Thornton|1.425|1.425|1.71|1.5|1.5|0|0|0|0|7.56
Ladislav Smid|0|0|0|0.9842|0.720759|0.952381|1.2|1.4|2.25|7.50734
Valeri Bure|2.9|3.1|1.5|0|0|0|0|0|0|7.5
Jeff Finger|0|0|0|0|0.475|3.5|3.5|0|0|7.475
Dallas Drake|2.5|2|1.216|1.2|0.55|0|0|0|0|7.466
Dave Scatchard|1.3|1.4|2.1|2.1|0|0|0.55|0|0|7.45
Alexandre Burrows|0|0|0|0.45|0.475|0.525|2|2|2|7.45
Derick Brassard|0|0|0|0|0|0.85|0.765|2.8|3|7.415
Sergei Brylin|1.3|1.55|1.52|1.52|1.52|0|0|0|0|7.41
Mike Dunham|2.8|3.3|0.75|0.5|0|0|0|0|0|7.35
Andrew Alberts|0|0|0.8588|0.6613|1.1|1.4|0.8|1.3|1.225|7.3451
Eric Weinrich|3|3|1.33|0|0|0|0|0|0|7.33
Andrew Cassels|2.6|3.225|1.5|0|0|0|0|0|0|7.325
David Vyborny|0.65|1.05|1.216|2.2|2.2|0|0|0|0|7.316
Kyle Quincey|0|0|0|0|0|0.5|0.55|3|3.25|7.3
Travis Moen|0|0|0.45|0.475|0.9|0.925|1.5|1.5|1.5|7.25
David Clarkson|0|0|0|0|0.555|0.8|0.875|2|3|7.23
Luke Schenn|0|0|0|0|0|0.875|0.875|0.875|4.6|7.225
Josh Gorges|0|0|0.45|0.45|0.495|1|1|1.3|2.5|7.195
Sam Gagner|0|0|0|0|0.875|0.875|0.875|2.275|2.275|7.175
Sean Hill|2.5|2.05|1.52|0.6|0.475|0|0|0|0|7.145
Jeff Schultz|0|0|0|0|0.775|0.65|0.715|2.5|2.5|7.14
Richard Matvichuk|2.2|2.2|1.368|1.368|0|0|0|0|0|7.136
Andrei Kastsitsyn|0|0|0|0|0.6118|3.25|3.25|0|0|7.1118
James Neal|0|0|0|0|0|0.635|0.72|2.25|3.5|7.105
Andrew Raycroft|0|0|1.3|1.8|2|0.8|0.5|0.7|0|7.1
Martin Gelinas|1.5|2.4|0.925|0.975|1.25|0|0|0|0|7.05
Gilbert Brule|0|0|0.85|0.85|0.85|0|0.8|1.85|1.85|7.05
Kurtis Foster|0|0|0|0.775|1.025|1.025|0.6|1.8|1.8|7.025
Maxime Talbot|0|0|0.525|0.545|0.65|0.7|1.05|1.05|2.5|7.02
Devin Setoguchi|0|0|0|0|0.85|0.85|0.765|1.8|2.75|7.015
Tyler Arnason|0.6|0.9|1.2|0.95|1.6|1.75|0|0|0|7
Claude Lemieux|4|2.5|0|0|0|0.5|0|0|0|7
Brian Savage|3.25|3.25|0.5|0|0|0|0|0|0|7
Tomas Kopecky|0|0|0|0.45|0.475|0.525|1.2|1.2|3.15|7
Garnet Exelby|0|0.45|0.57|0.684|1.05|1.4|1.725|0.5|0.6|6.979
Joel Ward|0|0|0|0.45|0|0.5|1.5|1.5|3|6.95
Steve Konowalchuk|1.55|1.575|1.9|1.9|0|0|0|0|0|6.925
David Perron|0|0|0|0|0.875|0.875|0.875|1.8|2.5|6.925
Antti Niemi|0|0|0|0|0|0.875|0.826875|2|3.2|6.901875
Clarke MacArthur|0|0|0|0|0.625|0.5225|1.4|1.1|3.25|6.8975
Alex Auld|0|0.9|0.513|1.475|0|1|1|1|1|6.888
Jody Shelley|0.55|0.6|0.608|0.6|0.65|0.725|0.725|1.2|1.2|6.858
Robert Svehla|2.8275|4|0|0|0|0|0|0|0|6.8275
Brad Lukowich|0.825|1.1|1|1|1.25|1.65|0|0|0|6.825
Curtis Glencross|0|0|0|0|0.5225|1.2|1.2|1.2|2.7|6.8225
Mark Stuart|0|0|0|0|0.9424|1.1|1.5|1.675|1.6|6.8174
Alexander Karpovtsev|2.95|3.1|0.76|0|0|0|0|0|0|6.81
Matt Bradley|0.4675|0.515|0.475|0.7|0.7|1|1|1|0.9|6.7575
Milan Jurcina|0|0|0.513|0.5|0.85|0.9125|1.375|1|1.6|6.7505
Ray Emery|0|0|0.45|0.925|2.75|0|1.5|0.5|0.6|6.725
Chad Larose|0|0|0|0.45|0.5|0.875|1.5|1.9|1.5|6.725
Eric Fehr|0|0|0|0|0.8|0.735|0.77175|2.2|2.2|6.70675
Bryan Little|0|0|0|0|0.85|0.85|0.85|1.65|2.5|6.7
Shane O'Brien|0|0|0|0.495|0.875|1.025|1.6|1.6|1.1|6.695
Daniil Markov|1.45|2.7|0|2.5|0|0|0|0|0|6.65
Patric Hornqvist|0|0|0|0|0|0|0.62|3|3|6.62
Jeff Hackett|3.6|3|0|0|0|0|0|0|0|6.6
Chris Stewart|0|0|0|0|0|0.85|0|2.5|3.25|6.6
Peter Mueller|0|0|0|0|0.85|0.85|0.85|1.5|2.5|6.55
Mason Raymond|0|0|0|0|0|0.685|0.76|2.5|2.6|6.545
Roman Cechmanek|3.5|3|0|0|0|0|0|0|0|6.5
Dan Ellis|0|0|0|0|0|1.5|2|1.5|1.5|6.5
Andrei Kostitsyn|0|0|0|0|0|0|0|3.25|3.25|6.5
Jaroslav Modry|0.7|0.95|1.748|1.9|1.2|0|0|0|0|6.498
John Erskine|0|0|0.575|0.575|0.525|0.55|1.25|1.5|1.5|6.475
Denis Grebeshkov|0|0|0.874|0|0.95|1.5|3.15|0|0|6.474
Chris Simon|2.25|1.5|1.216|1|0.475|0|0|0|0|6.441
Nikolai Kulemin|0|0|0|0|0|0.85|0.85|2.5|2.2|6.4
Blake Wheeler|0|0|0|0|0|0.875|0.875|2.2|2.45|6.4
Manny Legace|0.9|1.1|1.162|1.4|1.8|0|0|0|0|6.362
Shawn Mceachern|3.35|2|1|0|0|0|0|0|0|6.35
Vitali Vishnevski|1.0725|1.17975|1.14|1.55|1.4|0|0|0|0|6.34225
Andrei Zyuzin|1.05|1.2|1.25|1.325|1.475|0|0|0|0|6.3
Jordin Tootoo|0|0|0.646|0.5|0.7|0.975|0.975|1.15|1.35|6.296
Boyd Gordon|0|0.5|0.9006|0.65|0.65|0.725|0.76125|0.8|1.3|6.28685
Stu Barnes|0.28|2.8|1.14|1.14|0.9|0|0|0|0|6.26
Brent Johnson|0.7|1.1|0.525|0.575|0.8|0.825|0.525|0.6|0.6|6.25
Ty Conklin|0|0.475|1.14|0.525|0|0.75|1.2|1.4|0.75|6.24
Ryan Johnson|0.75|0.6|0.5852|0.8|0.8|1.1|1.1|0.5|0|6.2352
Marc-Andre Bergeron|0|0|0.608|0.969|1.197|1.691|0.75|0|1|6.215
Marcel Goc|0|0|0.836|0.775|0.8|0.775|0.55|0.775|1.7|6.211
Luc Robitaille|4|1.15|1|0|0|0|0|0|0|6.15
Peter Budaj|0|0|0.45|0.6|0.7|0.8|1.25|1.25|1.1|6.15
Randy Jones|0|0|0.45|0.525|0.525|2.5|0|1|1.15|6.15
Vernon Fiddler|0|0|0|0.45|0.8|0.9|1.1|1.1|1.8|6.15
Martin Hanzal|0|0|0|0|0.85|0.85|0.85|1.5|2.1|6.15
Scott Mellanby|2.2|2|0.912|1|0|0|0|0|0|6.112
John Grahame|0.6|1|1.162|1.4|1.4|0|0|0|0.525|6.087
Antero Niittymaki|0|0|0|1|1.075|1.375|0.6|2|0|6.05
Matt Moulson|0|0|0|0|0.49|0|0.575|2.45|2.5|6.015
Donald Audette|3|3|0|0|0|0|0|0|0|6
Adam Deadmarsh|3|3|0|0|0|0|0|0|0|6
Robert Reichel|2.75|3.25|0|0|0|0|0|0|0|6
Matt Hunwick|0|0|0|0|0.725|0.775|1.35|1.55|1.55|5.95
Kyle Wellwood|0|0|0.627|0.8|0.95|0.9975|1.2|0.65|0.7|5.9245
Anton Babchuk|0|0|0|0.9006|0|1|0|1.4|2.5|5.8006
Darren Mccarty|1.95|2.25|0.8|0.8|0|0|0|0|0|5.8
Marcus Ragnarsson|2.3|3.5|0|0|0|0|0|0|0|5.8
Curtis Brown|1.533333|1.6|1.254|0.7|0.7|0|0|0|0|5.787333
Marcus Nilson|0.925|1.1|1.368|1.368|1|0|0|0|0|5.761
Chris Therien|2.6|2.6|0.5|0|0|0|0|0|0|5.7
Andrew Cogliano|0|0|0|0|0.85|0.85|0.85|1|2.15|5.7
Tom Kostopoulos|0|0|0.525|0.6|0.9|0.9|0.7|0.95|1.1|5.675
Sean Bergenheim|0|0|0|0|0.5|0.8|0.925|0.7|2.75|5.675
Kent Huskins|0|0|0|0|0.6|0.65|1.5|1.9|1|5.65
Peter Schaefer|0.252|0.6|0.988|1.7|2.1|0|0|0|0|5.64
Dominic Moore|0|0|0|0.7|0.7|0.9|1.1|1|1.2|5.6
Bob Boughner|2.3|2.3|0.95|0|0|0|0|0|0|5.55
Michael Frolik|0|0|0|0|0|0.85|0.85|0.85|3|5.55
Torrey Mitchell|0|0|0|0|0.715|0.715|1|1.375|1.725|5.53
Kenny Jonsson|2.5|3|0|0|0|0|0|0|0|5.5
Matt Walker|0|0.425|0.45|0.525|0.6|0.6|1.275|1.625|0|5.5
Chris Campoli|0|0|0.45|0|0.6|0.625|0.675|1.4|1.75|5.5
Alex Goligoski|0|0|0|0|0|0|1.25|1.5|2.75|5.5
Scott Nichol|0.4|0.425|0.525|0.525|0.75|0.75|0.75|0.76|0.6|5.485
Bryan Marchment|3|2|0.456|0|0|0|0|0|0|5.456
Arron Asham|0.4235|0|0.627|0.95|0.7|0.64|0.64|0.7|0.775|5.4555
Wes Walz|0.8|0.85|1.52|1.368|0.9|0|0|0|0|5.438
Patrick Eaves|0|0|0|0.9424|0.9416|1.1|0.5|0.75|1.2|5.434
Dean Mcammond|1.4|1.5|0.95|0.725|0.85|0|0|0|0|5.425
Petr Prucha|0|0|0.525|0.55|1.6|1.6|1.15|0|0|5.425
Steve Begin|0.375|0.4|0.608|0.646|1.225|1.3|0.85|0|0|5.404
Ron Tugnutt|2.6|2.8|0|0|0|0|0|0|0|5.4
Jonathan Ericsson|0|0|0|0|0|0|0.9|1.25|3.25|5.4
Brian Sutherby|0|0.825|0.6479|0.8|0.8|0.7|0.775|0.85|0|5.3979
Robert Nilsson|0|0|0.9424|0|0.9424|1.5|2|0|0|5.3848
Michael Rupp|0|0|0.57|0.45|0.5|0.5|0.8|0.85|1.7|5.37
Brad Isbister|1.8|1.925|1.102|0|0.525|0|0|0|0|5.352
Brad May|1.2|1.1|0.65|0.7|0.6|0.6|0.5|0|0|5.35
Michael Leighton|0|0.575|0|0.45|0|0.6|0.6|1.5|1.6|5.325
Derek Boogaard|0|0|0.45|0.525|0.75|0.85|1.025|1.7|0|5.3
Jim Slater|0|0|0|0.9006|0.75|0.8|0.84|0.9|1.1|5.2906
Shane Hnidy|0.6|0.725|0.6|0.6|0.755|0.76|0.75|0.5|0|5.29
Marc Methot|0|0|0|0|0.475|0.5225|0.975|1.05|2.25|5.2725
Alyn Mccauley|0.9517|1.2|1.083|2|0|0|0|0|0|5.2347
Boris Mironov|3.3|1.925|0|0|0|0|0|0|0|5.225
Claude Giroux|0|0|0|0|0|0.85|0.85|0.765|2.75|5.215
Arturs Irbe|2.5|2.7|0|0|0|0|0|0|0|5.2
Nicklas Grossman|0|0|0|0|0|0.9|1.05|1.5|1.75|5.2
Adam Hall|0.6|0.685|0.6|0.975|0.525|0.6|0|0.6|0.6|5.185
Dick Tarnstrom|0.475|1.1|1.6|0|2|0|0|0|0|5.175
Shean Donovan|0.6845|0.75295|0.627|0.925|0.925|0.6|0.65|0|0|5.16445
Tie Domi|1.9|2|1.25|0|0|0|0|0|0|5.15
Matthew Barnaby|1.575|1.5875|1.33|0.625|0|0|0|0|0|5.1175
Troy Brouwer|0|0|0|0|0|0.7|1|1.05|2.35|5.1
Darcy Hordichuk|0|0.495|0.46|0.47|0.517|0.75|0.775|0.8|0.825|5.092
Andre Roy|0.7|0.825|1|1|1|0.55|0|0|0|5.075
Steve Mason|0|0|0|0|0|0.85|0.85|0.765|2.6|5.065
Jiri Fischer|1.0725|1.18|1.33|1.444|0|0|0|0|0|5.0265
Richard Park|0.5|0.8|0.75|0.45|0.475|0.7|0.8|0|0.55|5.025
Matt Niskanen|0|0|0|0|0.585|0.635|0.805|1.25|1.75|5.025
Kris Russell|0|0|0|0|0.55|0.575|1.3|1.3|1.3|5.025
